player_id,player_name,positions,4pt_fg,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alize-mack,Alize Mack,TE,,,,,,,,,,,,,0.0,0.0,0.0,,,
columbus-aviators-dst,COLUMBUS AVIATORS DST,DST/K,1.0,,2.0,219.0,1.0,,0.0,,1.0,,,36.0,,,,,,3.0
columbus-aviators-qb,COLUMBUS AVIATORS QB,QB,,,,,,1.0,,,,1.0,221.0,,,,,0.0,15.0,
cam-mcdonald,Cam McDonald,TE,,,,,,,,,,,,,0.0,0.0,0.0,,,
chandler-rogers,Chandler Rogers,QB,,,,,,,,,,,,,,,,1.0,16.0,
easop-winston-jr,Easop Winston Jr.,WR,,,,,,,,,,,,,0.0,51.0,3.0,,,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,,,,,0.0,50.0,2.0,,,
ian-wheeler,Ian Wheeler,RB,,,,,,,,,,,,,0.0,-5.0,1.0,1.0,99.0,
isaiah-winstead,Isaiah Winstead,WR,,,,,,,,,,,,,1.0,65.0,3.0,,,
jaden-shirden,Jaden Shirden,RB,,,,,,,,,,,,,,,,2.0,53.0,
jalen-morton,Jalen Morton,QB,,,,,,1.0,,,,1.0,221.0,,,,,0.0,15.0,
john-lovett,John Lovett,RB,,,,,,,,,,,,,0.0,40.0,4.0,0.0,11.0,
jonah-dalmas,Jonah Dalmas,K,1.0,,2.0,219.0,,,,,1.0,,,,,,,,,
kaden-prather,Kaden Prather,WR,,,,,,,,,,,,,0.0,18.0,1.0,,,
keke-chism,Keke Chism,WR,,,,,,,,,,,,,1.0,44.0,3.0,,,
louisville-kings-dst,LOUISVILLE KINGS DST,DST/K,,1.0,6.0,,,,1.0,,,,,27.0,,,,,,1.0
louisville-kings-qb,LOUISVILLE KINGS QB,QB,,,,,,0.0,,,,1.0,147.0,,,,,1.0,53.0,
lucky-jackson,Lucky Jackson,WR,,,,,,,,,,,,,0.0,20.0,4.0,,,
mike-diliello,Mike DiLiello,QB,,,,,,0.0,,,,0.0,58.0,,,,,0.0,10.0,
nkosi-perry,N\'Kosi Perry,QB,,,,,,0.0,,,,1.0,89.0,,,,,0.0,27.0,
tanner-brown,Tanner Brown,K,,,6.0,,,,,,,,,,,,,,,
tarik-black,Tarik Black,WR,,,,,,,,,,,,,0.0,9.0,1.0,,,
tay-martin,Tay Martin,WR,,,,,,,,,,,,,0.0,36.0,2.0,,,
toa-taua,Toa Taua,RB,,,,,,,,,,,,,0.0,0.0,0.0,1.0,70.0,
tre-mckitty,Tre\' McKitty,TE,,,,,,,,,,,,,0.0,15.0,1.0,,,
tyler-hudson,Tyler Hudson,WR,,,,,,,,1.0,,,,,0.0,9.0,1.0,,,
yulkeith-brown,Yulkeith Brown,WR,,,,,,,,,,,,,0.0,0.0,0.0,,,
zach-davidson,Zach Davidson,TE,,,,,,,,,,,,,0.0,16.0,2.0,,,
