player_id,player_name,positions,1pt_conversion,conversions,dst_touchdown,field_goal_yards,fumble_recoveries,interceptions_made,missed,points_against,sacks
brandon-dillon,Brandon Dillon,TE,,1.0,,,,,,,
deveon-smith,De\'Veon Smith,RB,1.0,,,,,,,,
luis-perez,Luis Perez,QB,,1.0,,,,,,,
renegades-dst,Renegades DST,DST,,,2.0,,1.0,3.0,,20.0,3.0
renegades-k,Renegades K,K,,,,96.0,,,,,
taylor-russolino,Taylor Russolino,K,,,,95.0,,,,,
vipers-dst,Vipers DST,DST,,,,,,1.0,,10.0,3.0
vipers-k,Vipers K,K,,,,,,,1.0,,
