player_id,player_name,positions,fg_made,pass_td,pat_made,recv_td,rush_td
brandon-munoz,Brandon Munoz,DL,,3.0,1.0,,
calvin-lowe,Calvin Lowe,WR,,2.0,,,
dayjure-stewart,Dayjure Stewart,RB,,,1.0,,1.0
demarius-washington,Demarius Washington,WR,2.0,,,,
emanuel-aquilar-medrano,Emanuel Aquilar-Medrano,K,,,,1.0,
evan-dimaggio,Evan DiMaggio,LB,,,,1.0,
joe-powell,Joe Powell,DB/LB/SAF,,,,1.0,
josh-batiste,Josh Batiste,RB,,,,1.0,
nashawn-jackson,Nashawn Jackson,OL,,,,1.0,
trayoun-maxie,Trayoun Maxie,DB,,,,,1.0
