player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_lg,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
boseko-lokombo,Boseko Lokombo,LB,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bryan-burnham,Bryan Burnham,WR,,,,,,,,,,,,,13.0,4.0,4.0,,9.0,32.0,,,,,,,,,,,,,,,,,,,
dominique-rhymes,Dominique RHYMES,WR,,,,,,,,,,,,,12.0,3.0,5.0,,-6.0,30.0,,,,,,,,,,,,,,,,,,,
garry-peters,Garry Peters,DB,1.0,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
james-butler,James BUTLER,RB,,,,,,,,,,,,,,6.0,6.0,2.0,31.0,33.0,,,,,,17.0,,2.0,108.0,2.0,24.0,2.0,4.0,,,,,,
jamie-harry,Jamie Harry,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jevon-cottoy,Jevon COTTOY,WR,,,,,,,,,,,,,13.0,3.0,4.0,,20.0,22.0,,,,,,,,,,,,,,,,,,,
jordan-williams,Jordan Williams,DE/MLB/LB/OT/DL/WR,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keon-hatcher,Keon HATCHER,WR,,,,,,,,,,,,,31.0,4.0,4.0,1.0,39.0,55.0,,,,,,,,,,1.0,6.0,,1.0,,,,,,
loucheiz-purifoy,Loucheiz Purifoy,DB,1.0,40.0,,2.0,2.0,40.0,,,,,,,,,,,,,27.0,2.0,,,43.0,,,,,,,,,,,,,,
lucky-whitehead,Lucky Whitehead,WR,,,,,,,,,,,,,44.0,6.0,6.0,,66.0,110.0,9.0,4.0,,,20.0,,,,,,,,,,,,,,
marcus-sayles,Marcus Sayles,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mathieu-betts,Mathieu Betts,DE/DL/DB,,,1.0,2.0,2.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-oconnor,Michael O'Connor,QB,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,6.0,1.0,1.0,,,,,,
nathan-cherry,Nathan Cherry,DL/DT/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nathan-rourke,Nathan ROURKE,QB,,,,,,,,29.0,26.0,44.0,3.0,282.0,,,,,,,,,,,,7.0,33.0,2.0,78.0,,12.0,2.0,2.0,,,,,,
quincy-mauger,Quincy Mauger,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sean-whyte,Sean WHYTE,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,1.0,1.0,13.0,11.0,8.0,8.0
shai-ross,Shai Ross,WR,,,,,,,,,,,,,,,,,,,27.0,3.0,,,61.0,,,,,,,,,,,,,,
sione-teuhema,Sione Teuhema,DL/DT/DB,,,3.0,4.0,4.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stefan-flintoft,Stefan Flintoft,P/K,,,,,,,,,,,,,,,,,,,68.0,9.0,9.0,173.0,563.0,,,,,,,,,,,,,,
tj-lee,T.J. Lee,DB,2.0,5.0,,3.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tibo-debaillie,Tibo Debaillie,DL/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyneil-cooper,Tyneil Cooper,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
