player_id,player_name,positions,1pt_conversion,3pt_other,conversions,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
abram-smith,Abram Smith,RB,,,,,,,,,,,,,0.0,7.0,1.0,1.0,11.0,
alonzo-moore,Alonzo Moore,WR,,,,,,,,,,,,,2.0,63.0,6.0,,,
arthur-jackson,Arthur Jackson,WR,,,,,,,,,,,,,0.0,25.0,2.0,,,
ben-bresnahan,Ben Bresnahan,TE,,,,,,,,,,,,,0.0,24.0,2.0,,,
braedon-bowman,Braedon Bowman,TE/WR,,,,,,,,,,,,,0.0,7.0,1.0,,,
braylon-sanders,Braylon Sanders,WR,,,,,,,,,,,,,0.0,36.0,1.0,,,
briley-moore-mckinney,Briley Moore-Mckinney,TE,,,,,,,,,,,,,0.0,5.0,1.0,,,
cameron-echols-luper,Cameron Echols-Luper,WR,,,,,,,,,,,,,0.0,43.0,2.0,,,
chris-rowland,Chris Rowland,WR,,,,,,,,,1.0,1.0,9.0,,0.0,31.0,1.0,0.0,14.0,
cole-hikutini,Cole Hikutini,TE,,,,,,,,,,,,,1.0,23.0,1.0,,,
cole-murphy,Cole Murphy,K,,,,1.0,77.0,,,,,,,,,,,,,
cornell-powell,Cornell Powell,WR,,,,,,,,,,,,,2.0,59.0,4.0,,,
dae-dae-hunter,Dae Dae Hunter,RB,,,,,,,,,,,,,0.0,49.0,6.0,0.0,40.0,
darius-victor,Darius Victor,RB,,,,,,,,,,,,,1.0,29.0,4.0,0.0,52.0,
deandre-johnson,De\'Andre Johnson,QB,,,,,,,0.0,,,1.0,89.0,,,,,,9.0,
defenders-dst,Defenders DST,DST,,,,,,1.0,,1.0,,,,30.0,,,,,,1.0
defenders-k,Defenders K,QB/K,,,,,,,0.0,,,2.0,240.0,,1.0,9.0,1.0,0.0,21.0,
deon-jackson,Deon Jackson,RB,,1.0,,,,,,,,,,,0.0,27.0,1.0,1.0,89.0,
deontay-burnett,Deontay Burnett,WR,,,,,,,,,,,,,0.0,64.0,6.0,,,
generals-dst,Generals DST,DST,,,,,,,,0.0,,,,25.0,,,,,,1.0
generals-k,Generals K,K,,,,1.0,46.0,,,,,,,,,,,,,
generals-qb,Generals QB,QB,,,,,,,0.0,,,3.0,201.0,,,,,0.0,9.0,
holton-ahlers,Holton Ahlers,QB,,,,,,,,,,,,,,,,1.0,1.0,
isaiah-winstead,Isaiah Winstead,WR,,,,,,,,,,,,,0.0,30.0,4.0,,,
javonta-payton,JaVonta Payton,WR,,,,,,,,,,,,,0.0,47.0,4.0,,,
javon-antonio,Javon Antonio,WR,,,,,,,,,,,,,0.0,25.0,3.0,,,
jaydon-mickens,Jaydon Mickens,WR,,,,,,,,,,,,,0.0,26.0,1.0,,,
joe-walker,Joe Walker,WR,,,,,,,,,,,,,1.0,121.0,5.0,,,
jordan-taamu,Jordan Ta\'amu,QB,,,,,,,0.0,,,2.0,240.0,,1.0,9.0,1.0,0.0,21.0,
josh-love,Josh Love,QB,,,,,,,0.0,,,3.0,264.0,,,,,0.0,3.0,
kaden-davis,Kaden Davis,WR,,,,,,,,,,,,,0.0,17.0,2.0,,,
lucas-havrisik,Lucas Havrisik,PK/K,,,,,129.0,,,,,,,,,,,,,
luis-perez,Luis Perez,QB,1.0,,1.0,,,,1.0,,1.0,2.0,350.0,,,,,0.0,9.0,
marcus-baugh,Marcus Baugh,TE/WR,,,,,,,,,,,,,0.0,30.0,2.0,,,
marcus-green,Marcus Green,WR,,,,,,,,,,,,,0.0,27.0,1.0,,,
marcus-simms,Marcus Simms,WR,,,,,,,,,,,,,0.0,9.0,1.0,,,
nick-sciba,Nick Sciba,K,,,,1.0,46.0,,,,,,,,,,,,,
panthers-dst,Panthers DST,DST,,,,,,,,0.0,,,,22.0,,,,,,1.0
panthers-k,Panthers K,K,,,,1.0,77.0,,,,,,,,,,,,,
panthers-qb,Panthers QB,QB,,,,,,,0.0,,,3.0,245.0,,,,,0.0,3.0,
reggie-corbin,Reggie Corbin,RB,,,,,,,,,,,,,0.0,22.0,3.0,0.0,78.0,
renegades-dst,Renegades DST,DST,,,,,,1.0,,0.0,,,,33.0,,,,,,0.0
renegades-k,Renegades K,K,,,,,129.0,,,,,,,,,,,,,
renegades-qb,Renegades QB,QB,1.0,,1.0,,,,1.0,,1.0,2.0,350.0,,,,,1.0,10.0,
sal-cannella,Sal Cannella,TE,1.0,,,,,,,,,,,,0.0,64.0,6.0,,,
seth-green,Seth Green,TE,,,,,,,,,,,,,0.0,43.0,2.0,,,
stevie-scott-iii,Stevie Scott III,RB,,,,,,,,,,,,,,,,0.0,13.0,
tony-jones-jr,Tony Jones Jr.,RB,,,,,,,,,,,,,0.0,2.0,1.0,0.0,36.0,
trey-quinn,Trey Quinn,WR,,,,,,,,,,,19.0,,1.0,61.0,3.0,,,
trey-williams,Trey Williams,RB,,,,,,,,,,,,,,,,0.0,4.0,
tyler-vaughns,Tyler Vaughns,WR,,,1.0,,,,,,,,,,2.0,51.0,3.0,,,
warren-newman,Warren Newman,WR,,,,,,,,,,,,,,,,0.0,-5.0,
woody-brandom,Woody Brandom,TE,,,,,,,,,,,,,0.0,1.0,1.0,,,
