player_id,player_name,positions,def_int,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_fr,score_ir,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,10.0,,,,,,,,,,,,
andrew-harris,Andrew Harris,RB,,,,,,,,,,,,,,,,,4.0,2.0,2.0,,2.0,7.0,,,,,,14.0,9.0,47.0,1.0,,,,2.0,,,,,,,
benoit-marion,Benoit Marion,DL/DB,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6.0,1.0,,,,,,
boris-bede,Boris Bede,K,,,,,,,,,,,,,,,,,,,,,,,100.0,5.0,4.0,78.0,387.0,,,,,,,,12.0,,4.0,3.0,44.0,11.0,2.0,2.0
bralon-addison,Bralon ADDISON,WR,,,,,,,,,,,,,,,,,22.0,3.0,3.0,,30.0,52.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
brandon-banks,Brandon Banks,WR,,,,,,,,,,,,,,,,,15.0,1.0,3.0,,7.0,15.0,10.0,4.0,,,18.0,,,,,,,,,,,,,,,
cam-phillips,Cam Phillips,WR,,,,,,,,,,,,,,,,,49.0,4.0,7.0,1.0,29.0,85.0,,,,,,,,,,,,1.0,6.0,1.0,,,,,,
cariel-brooks,Cariel Brooks,DB,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-edwards,Chris Edwards,DB/LB,1.0,,1.0,1.0,1.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,1.0,,,,,,
ciante-evans,Ciante Evans,DB,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dashaun-amos,DaShaun Amos,DB,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,,,,,,,,,,30.0,4.0,5.0,,15.0,73.0,,,,,,,,,,,,,,,,,,,,
dane-evans,Dane Evans,QB,,,,,,,,,43.0,29.0,1.0,37.0,,,1.0,303.0,,,,,,,,,,,,3.0,7.0,10.0,,,,,,,,,,,,
dewayne-hendrix,Dewayne Hendrix,DL/DB,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
don-jackson,Don Jackson,RB,,,,,,,,,,,,,,,,,19.0,8.0,9.0,1.0,54.0,67.0,,,,,,10.0,16.0,47.0,,,,1.0,6.0,1.0,,,,,,
dylan-wynn,Dylan Wynn,DT/DB,,1.0,4.0,,4.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
