player_id,player_name,positions,assists,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
advika-basden,Advika Basden,,,4.0,17.0,3.0,12.0,5.0,20.0,2.0
agatha-scales,Agatha Scales,,,2.0,13.0,,4.0,-1.0,7.0,3.0
allison-murphy,Allison Murphy,,,,12.0,,,,,
anna-gustafson,Anna Gustafson,,1.0,2.0,11.0,2.0,,4.0,12.0,1.0
ashleigh-jentilet,Ashleigh Jentilet,,2.0,5.0,31.0,5.0,9.0,8.0,32.0,4.0
caitlin-aycock,Caitlin Aycock,,,2.0,12.0,1.0,4.0,2.0,29.0,1.0
carly-atwell,Carly Atwell,,3.0,3.0,9.0,2.0,36.0,-7.0,116.0,15.0
charlie-hawkins,Charlie Hawkins,,,1.0,2.0,1.0,1.0,1.0,11.0,1.0
charlotte-doran,Charlotte Doran,,3.0,1.0,21.0,2.0,8.0,3.0,45.0,3.0
chloe-greene,Chloe Greene,,2.0,,8.0,1.0,5.0,-1.0,33.0,4.0
christina-mariscano,Christina Mariscano,,1.0,,6.0,,4.0,-1.0,7.0,2.0
christine-goh,Christine Goh,,,,6.0,2.0,20.0,-2.0,19.0,4.0
claire-gust,Claire Gust,,,1.0,17.0,3.0,5.0,1.0,8.0,3.0
dana-bidot,Dana Bidot,,1.0,3.0,8.0,2.0,5.0,6.0,10.0,
dani-ortiz,Dani Ortiz,,,,4.0,,,,4.0,
dena-elimelech,Dena Elimelech,,6.0,1.0,13.0,3.0,7.0,6.0,44.0,4.0
elizabeth-mosquera,Elizabeth Mosquera,,4.0,3.0,19.0,1.0,1.0,3.0,32.0,5.0
elizabeth-wu,Elizabeth Wu,,,,5.0,,4.0,-1.0,5.0,1.0
elle-mayer,Elle Mayer,,,,1.0,,,,1.0,
ellen-mueller,Ellen Mueller,,,,13.0,1.0,4.0,-2.0,10.0,3.0
ellie-thomson,Ellie Thomson,,1.0,1.0,5.0,2.0,4.0,4.0,7.0,
emelia-marshall,Emelia Marshall,,3.0,,5.0,3.0,25.0,-1.0,47.0,7.0
emma-jaschke,Emma Jaschke,,,,11.0,1.0,1.0,1.0,4.0,
erynn-schroeder,Erynn Schroeder,,6.0,2.0,4.0,1.0,27.0,,76.0,9.0
gaby-cuina,Gaby Cuina,,,1.0,1.0,,8.0,-1.0,7.0,2.0
graham-cunningham,Graham Cunningham,,1.0,,9.0,,11.0,-2.0,58.0,3.0
jaime-estes,Jaime Estes,,10.0,2.0,8.0,2.0,35.0,3.0,69.0,11.0
kat-ritzmann,Kat Ritzmann,,1.0,1.0,4.0,1.0,24.0,-1.0,34.0,4.0
kate-weidmann,Kate Weidmann,,,,10.0,,2.0,,,
katina-russell,Katina Russell,,,1.0,,2.0,19.0,3.0,7.0,
kay-chang,Kay Chang,,,,4.0,,,,,
lauren-ma,Lauren Ma,,1.0,,7.0,2.0,28.0,-2.0,35.0,5.0
lexie-thomas,Lexie Thomas,,,,15.0,,4.0,-2.0,5.0,2.0
liv-ford,Liv Ford,,1.0,1.0,15.0,2.0,4.0,-2.0,43.0,6.0
mackenzie-bailey,Mackenzie Bailey,,1.0,1.0,6.0,2.0,24.0,-7.0,66.0,11.0
maddie-pletzke,Maddie Pletzke,,1.0,2.0,24.0,1.0,5.0,,18.0,4.0
maddy-easton,Maddy Easton,,,1.0,17.0,1.0,11.0,-2.0,10.0,4.0
madison-cannon,Madison Cannon,,2.0,7.0,5.0,4.0,22.0,4.0,44.0,9.0
maggie-rowell,Maggie Rowell,,1.0,2.0,21.0,3.0,12.0,-3.0,14.0,9.0
marie-perivier,Marie Perivier,,3.0,3.0,10.0,5.0,9.0,5.0,41.0,6.0
martha-wilber,Martha Wilber,,2.0,,14.0,4.0,8.0,4.0,20.0,2.0
megan-jarriel,Megan Jarriel,,3.0,3.0,11.0,1.0,,6.0,13.0,1.0
mia-griner,Mia Griner,,1.0,3.0,8.0,1.0,10.0,5.0,26.0,
mindy-radike,Mindy Radike,,2.0,2.0,19.0,,13.0,,48.0,4.0
mithalee-thakkar,Mithalee Thakkar,,,,9.0,,4.0,-2.0,8.0,2.0
morgan-lally,Morgan Lally,,,,5.0,,1.0,-1.0,17.0,1.0
naomi-anderson,Naomi Anderson,,1.0,3.0,20.0,,7.0,2.0,35.0,2.0
natalie-wilson,Natalie Wilson,,1.0,,15.0,,6.0,-1.0,10.0,2.0
olympia-walker,Olympia Walker,,,1.0,20.0,1.0,6.0,1.0,4.0,1.0
paige-carver,Paige Carver,,,,10.0,2.0,7.0,2.0,14.0,
quincy-booth,Quincy Booth,,1.0,1.0,10.0,2.0,3.0,,33.0,4.0
rachel-graber,Rachel Graber,,2.0,1.0,13.0,,5.0,,18.0,3.0
rachel-mast,Rachel Mast,,1.0,1.0,7.0,2.0,27.0,2.0,39.0,2.0
ria-stevens,Ria Stevens,,3.0,1.0,13.0,1.0,8.0,3.0,9.0,2.0
samantha-phillips,Samantha Phillips,,,,6.0,,,,2.0,
sami-smalling,Sami Smalling,,5.0,2.0,7.0,4.0,17.0,5.0,74.0,6.0
sanja-royall,Sanja Royall,,2.0,1.0,8.0,3.0,29.0,2.0,33.0,4.0
shiru-liu,Shiru Liu,,3.0,,18.0,,9.0,-13.0,49.0,16.0
summer-wilson,Summer Wilson,,1.0,5.0,14.0,,7.0,2.0,19.0,4.0
sydney-loughran,Sydney Loughran,,1.0,,2.0,3.0,16.0,4.0,13.0,
sydney-rehder,Sydney Rehder,,1.0,,8.0,1.0,13.0,-2.0,41.0,4.0
tiffany-schumacher,Tiffany Schumacher,,,,4.0,,12.0,-6.0,38.0,6.0
tori-taylor,Tori Taylor,,4.0,2.0,18.0,1.0,3.0,6.0,18.0,1.0
ximena-montana,Ximena Montaña,,4.0,3.0,14.0,4.0,6.0,9.0,38.0,2.0
