player_id,player_name,positions,attempts,avg,long,td,yards
aoto-itō,Aoto Itō,,68.0,5.04,47.0,,343.0
atomu-koizumi,Atomu Koizumi,,44.0,5.61,24.0,1.0,247.0
atsuya-miyashita,Atsuya Miyashita,,48.0,3.69,21.0,1.0,177.0
chance-bell,Chance Bell,,88.0,4.7,31.0,2.0,414.0
dereck-akira-williams,Dereck Akira Williams,,56.0,2.93,36.0,1.0,164.0
devin-phelps,Devin Phelps,WR,17.0,16.06,71.0,2.0,273.0
eki-kamei,Eki Kamei,,25.0,9.24,47.0,2.0,231.0
genta-shibata,Genta Shibata,,21.0,12.48,54.0,2.0,262.0
hiroaki-tatsukawa,Hiroaki Tatsukawa,,34.0,7.12,46.0,2.0,242.0
hiromasa-umeno,Hiromasa Umeno,,21.0,6.86,24.0,1.0,144.0
ikuha-hiramatsu,Ikuha Hiramatsu,,44.0,6.73,28.0,2.0,296.0
isaiah-khalil-malcome,Isaiah Khalil Malcome,,68.0,5.62,73.0,1.0,382.0
jō-nishimoto,Jō Nishimoto,,97.0,54.6,921.0,73.0,53.0
kaito-suzuki,Kaito Suzuki,,15.0,11.93,23.0,,179.0
kazuma-ōkubo,Kazuma Ōkubo,,44.0,3.89,18.0,2.0,171.0
keishi-kinoshita,Keishi Kinoshita,,13.0,9.69,35.0,12.0,126.0
kōhei-kusano,Kōhei Kusano,,64.0,4.02,15.0,1.0,257.0
kōki-yajima,Kōki Yajima,,31.0,5.84,28.0,2.0,181.0
kōtarō-hironaga,Kōtarō Hironaga,,28.0,7.79,21.0,2.0,218.0
masanari-kagawa,Masanari Kagawa,,26.0,6.38,34.0,2.0,166.0
masataka-hoshino,Masataka Hoshino,,39.0,6.92,51.0,,270.0
mikito-itokawa,Mikito Itokawa,,15.0,11.93,35.0,1.0,179.0
moto-hafuka,Moto Hafuka,,14.0,9.71,24.0,1.0,136.0
nobutake-yamada,Nobutake Yamada,,17.0,9.24,42.0,1.0,157.0
riku-kuwahara,Riku Kuwahara,,16.0,13.13,64.0,1.0,210.0
ryōtarō-kawaguchi,Ryōtarō Kawaguchi,,16.0,11.19,57.0,1.0,179.0
shinobu-saitō,Shinobu Saitō,,82.0,62.2,599.0,76.0,51.0
shōei-itami,Shōei Itami,,40.0,4.38,33.0,20.0,175.0
shōgo-narita,Shōgo Narita,,18.0,10.78,22.0,1.0,194.0
shōhei-katō,Shōhei Katō,,97.0,61.9,679.0,51.0,60.0
takehiro-mawatari,Takehiro Mawatari,,22.0,8.5,25.0,1.0,187.0
takurō-abe,Takurō Abe,,17.0,10.71,26.0,1.0,182.0
takuto-sudō,Takuto Sudō,,36.0,5.86,31.0,,211.0
takuya-kawase,Takuya Kawase,,18.0,8.61,22.0,1.0,155.0
tatsurō-kimata,Tatsurō Kimata,,13.0,12.23,42.0,,159.0
tetsuya-nakano,Tetsuya Nakano,,38.0,4.37,42.0,1.0,166.0
tomoaki-niitsuma,Tomoaki Niitsuma,,33.0,4.88,19.0,1.0,161.0
tsubasa-sakaguchi,Tsubasa Sakaguchi,,20.0,8.85,24.0,1.0,177.0
yuito-ikeda,Yuito Ikeda,,54.0,4.17,26.0,1.0,225.0
yūdai-nomura,Yūdai Nomura,,33.0,4.97,51.0,,164.0
yūki-higashiura,Yūki Higashiura,,47.0,5.38,49.0,,253.0
yūta-harigaya,Yūta Harigaya,,42.0,4.07,27.0,2.0,171.0
yūto-moriwake,Yūto Moriwake,,45.0,4.73,70.0,1.0,213.0
yūya-araki,Yūya Araki,,86.0,61.6,732.0,46.0,53.0
