player_id,player_name,positions,interceptions_lost,interceptions_made,lost_fumbles,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-hendy,A.J. Hendy,FS/DB,,,,,,,,,,,,,4.0
ajene-harris,Ajene Harris,CB/DB,,1.0,,1.0,,,,,,,,,2.0
alexander-myres,Alexander Myres,DB,,,,,,,,,,,,1.0,1.0
andrew-jamiel,Andrew Jamiel,WR,,,,,,,1.0,80.0,3.0,,,,
battlehawks-qb,Battlehawks QB,QB,0.0,,0.0,,,,,,,,,,
ben-putman,Ben Putman,WR,,,,,,,,7.0,1.0,,,,
brandon-silvers,Brandon Silvers,QB,2.0,,,,2.0,272.0,,,,,,,
cedric-byrd,Cedric Byrd,WR,,,,,,,,20.0,2.0,,,,
charleston-rambo,Charleston RAMBO,WR,,,,,,,,22.0,4.0,,,,
chauncey-rivers,Chauncey Rivers,DL,,,,,,,,,,,,,2.0
cody-latimer,Cody Latimer,TE,,,,,,,1.0,68.0,5.0,,,,
cole-mcdonald,Cole McDonald,QB,,,,,,,,,,1.0,14.0,,
deddrick-thomas,Deddrick Thomas,WR,,,,,,,,42.0,2.0,,9.0,,
defenders-k,Defenders K,QB/K,,,0.0,,0.0,,,,,,,,
dejoun-lee,Dejoun Lee,RB,,,,,,,,4.0,1.0,,25.0,,
deontay-burnett,Deontay Burnett,WR,,,,,,,1.0,90.0,8.0,,,,
dontez-byrd,Dontez Byrd,WR,,,,,,,,11.0,2.0,,,,
eli-rogers,Eli Rogers,WR,,,1.0,,,,,40.0,4.0,,,,
guardians-qb,Guardians QB,QB,3.0,,1.0,,2.0,278.0,,,,,,,
jacoby-jones,Jacoby Jones,DL,,,,,,,,,,,,2.0,3.0
jah-maine-martin,Jah-Maine Martin,RB,,,,,,,,1.0,1.0,,41.0,,
john-daka,John Daka,DL/LB,,,,,,,,,,,,,2.0
jontre-kirklin,Jontre Kirklin,WR,,,,,,,1.0,71.0,5.0,,,,
jordan-mosley,Jordan Mosley,DB/SS,,,,1.0,,,,,,,,,3.0
kelvin-taylor,Kelvin Taylor,RB,,,,,,,,,,,28.0,,1.0
logan-carter,Logan Carter,TE,,,,,,,,3.0,2.0,,,,
marcus-murphy-2,Marcus Murphy,DB,,1.0,,1.0,,,,,,,,,2.0
matt-elam,Matt Elam,DB,,1.0,,,,,,,,,,,3.0
max-borghi,Max Borghi,RB,,,,,,,,32.0,4.0,1.0,42.0,,
mike-lee,Mike Lee,DB,,,,1.0,,,,,,,,,2.0
najeem-hosein,Najeem Hosein,DB,,,,,,,,,,,,,1.0
nick-coe,Nick Coe,DL,,,,,,,,,,,,,6.0
nick-holley,Nick Holley,RB/WR,,,,1.0,,,,,,,,,1.0
paxton-lynch,Paxton Lynch,QB,1.0,,,,1.0,136.0,,,,,,,
quinten-dormady,Quinten Dormady,QB,2.0,,,,1.0,142.0,,,,,,,
raleigh-texada,Raleigh Texada,DB,,,,1.0,,,,,,,,,2.0
renegades-qb,Renegades QB,QB,,,0.0,,0.0,,,,,,,,
roman-tatum,Roman Tatum,DB,,,,1.0,,,,,,,,,
roughnecks-qb,Roughnecks QB,QB,2.0,,0.0,,2.0,272.0,,,,1.0,14.0,,
ryan-becker,Ryan Becker,TE,,,,,,,,9.0,2.0,,,,
shaquille-wiggins,Shaquille Wiggins,DB,,,,,,,,,,,,,6.0
stansly-maponga,Stansly Maponga,DL/DB,,,,,,,,,,,,1.0,1.5
stephen-guidry,Stephen Guidry,WR,,,,,,,,2.0,2.0,,,,
tavante-beckett,Tavante Beckett,LB,,1.0,,,,,,,,,,,4.0
terrance-plummer,Terrance Plummer,DB/LB,,,,,,,,,,,,,3.0
terrance-smith,Terrance Smith,LB,,,,2.0,,,,,,,,,2.5
travell-harris,Travell Harris,WR,,,,,,,,48.0,5.0,,,,
