player_id,player_name,positions,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alize-mack,Alize Mack,TE,,,,,,,,,,,0.0,42.0,3.0,,,
antwane-wells,Antwane Wells,WR,,,,,,,,,,,0.0,32.0,3.0,0.0,5.0,
armani-rogers,Armani Rogers,TE,,,,,,,,,,,0.0,-1.0,1.0,,,
columbus-aviators-dst,COLUMBUS AVIATORS DST,DST/K,1.0,,,,0.0,,1.0,,,17.0,,,,,,1.0
columbus-aviators-qb,COLUMBUS AVIATORS QB,QB,,,,0.0,,1.0,,0.0,159.0,,,,,1.0,25.0,
houston-gamblers-dst,HOUSTON GAMBLERS DST,DST,,,2.0,,0.0,,,,,13.0,,,,,,3.0
houston-gamblers-k,HOUSTON GAMBLERS K,K,2.0,23.0,,,,,1.0,,,,,,,,,
houston-gamblers-qb,HOUSTON GAMBLERS QB,QB,,,,0.0,,,,0.0,146.0,,,,,1.0,37.0,
jalan-mcclendon,Jalan McClendon,QB,,,,0.0,,1.0,,0.0,160.0,,,,,1.0,25.0,
jalen-morton,Jalen Morton,QB,,,,0.0,,,,0.0,-1.0,,,,,,,
jalen-white,Jalen White,RB,,,,,,,,,,,0.0,29.0,2.0,1.0,32.0,
jaylon-moore-2,Jaylon Moore,WR,,,,,,,,,,,0.0,8.0,2.0,,,
john-hoyland,John Hoyland,K,2.0,23.0,,,,,1.0,,,,,,,,,
john-lovett,John Lovett,RB,,,,,,,,,,,,,,0.0,19.0,
jontre-kirklin,Jontre Kirklin,WR,,,,,,,,,,,0.0,32.0,3.0,,,
justin-hall,Justin Hall,WR,,,,,,,,,,,0.0,19.0,2.0,,,
keke-chism,Keke Chism,WR,,,,,,,,,,,0.0,7.0,1.0,,,
lawrence-keys-iii,Lawrence Keys III,WR,,,,,,,,,,,0.0,43.0,3.0,0.0,0.0,
marcus-major,Marcus Major,RB,,,,,,,,,,,0.0,12.0,1.0,0.0,27.0,
marcus-yarns,Marcus Yarns,RB,,,,,,,,,,,0.0,12.0,1.0,0.0,24.0,
nolan-henderson,Nolan Henderson,QB,,,,0.0,,,,0.0,146.0,,,,,1.0,37.0,
tay-martin,Tay Martin,WR,,,,,,,,,,,0.0,40.0,3.0,,,
toa-taua,Toa Taua,RB,,,,,,,,,,,0.0,17.0,1.0,1.0,30.0,
zaquandre-white,ZaQuandre White,RB,,,,,,,,,,,0.0,13.0,3.0,0.0,38.0,
