player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
abdur-razzak,Abdur Razzak,,,,,,,,18.0,0.0,0.0,28.0,0.0,0.0,,1.0
ahmed-shehzad,Ahmed Shehzad,,25.0,5.0,1.0,4.0,40.0,0.0,,,,,,,,1.0
anamul-haque,Anamul Haque,,30.0,2.0,0.0,3.0,40.0,2.0,,,,,,,1.0,1.0
dr-smith,DR Smith,,12.0,5.0,0.0,2.0,21.0,0.0,,,,,,,,1.0
habibur-rahman,Habibur Rahman,,,,,,,,6.0,0.0,0.0,18.0,0.0,1.0,,1.0
imran-khan-1,Imran Khan (1),,,,,,,,24.0,0.0,0.0,21.0,0.0,0.0,,1.0
imrul-kayes,Imrul Kayes,,26.0,3.0,0.0,3.0,36.0,1.0,,,,,,,,1.0
jahurul-islam,Jahurul Islam,,2.0,0.0,1.0,6.0,1.0,0.0,,,,,,,,1.0
khalid-latif,Khalid Latif,,53.0,6.0,0.0,2.0,76.0,5.0,,,,,,,,1.0
mashrafe-mortaza,Mashrafe Mortaza,,,,,,,,24.0,0.0,0.0,34.0,1.0,1.0,,1.0
mohammad-nabi,Mohammad Nabi,,24.0,5.0,1.0,5.0,46.0,2.0,18.0,0.0,0.0,35.0,0.0,0.0,,1.0
mohammad-saifuddin,Mohammad Saifuddin,,,,,,,,20.0,0.0,2.0,40.0,0.0,2.0,,1.0
mohammad-sharif,Mohammad Sharif,,,,,,,,24.0,0.0,1.0,32.0,0.0,0.0,,1.0
nazmul-hossain-shanto,Nazmul Hossain Shanto,,15.0,2.0,0.0,1.0,17.0,0.0,6.0,0.0,0.0,13.0,0.0,0.0,,1.0
rn-ten-doeschate,RN ten Doeschate,,3.0,0.0,1.0,5.0,9.0,1.0,12.0,0.0,0.0,15.0,2.0,0.0,,1.0
shoaib-malik,Shoaib Malik,,25.0,5.0,0.0,4.0,38.0,0.0,12.0,0.0,0.0,16.0,0.0,1.0,,1.0
shohidul-islam,Shohidul Islam,,,,,,,,24.0,0.0,1.0,37.0,0.0,0.0,,1.0
sohail-tanvir,Sohail Tanvir,,,,,,,,24.0,0.0,1.0,33.0,1.0,0.0,,1.0
tamim-iqbal,Tamim Iqbal,,27.0,1.0,0.0,1.0,30.0,1.0,,,,,,,1.0,1.0
taskin-ahmed,Taskin Ahmed,,,,,,,,24.0,0.0,1.0,44.0,1.0,0.0,,1.0
