player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,,18.0,2.0,,84.0,
alex-hale,Alex Hale,K/OL/PK,2.0,65.0,,1.0,,,,,,,,,
cgy-dst,CGY DST,DST,,,,,,,40.0,,,,,,2.0
cgy-k,CGY K,K,4.0,63.0,,,,,,,,,,,
cgy-qb,CGY QB,QB,,,0.0,,1.0,254.0,,,,,2.0,14.0,
clark-barnes,Clark BARNES,WR,,,,,,,,0.0,32.0,2.0,,,
dedrick-mills,Dedrick MILLS,RB,,,,,,,,0.0,11.0,2.0,0.0,103.0,
dejon-brissett,Dejon BRISSETT,WR,,,,,,,,0.0,55.0,3.0,,,
dhel-duncan-busby,Dhel Duncan-Busby,WR,,,,,,,,0.0,22.0,3.0,,,
erik-brooks,Erik BROOKS,WR,,,,,,,,0.0,64.0,6.0,,,
jalen-philpot,Jalen PHILPOT,WR,,,,,,,,0.0,53.0,3.0,0.0,-2.0,
jaylen-johnson-2,Jaylen Johnson,WR,,,,,,,,0.0,31.0,2.0,,,
jude-mcatamney,Jude McAtamney,K/PK,4.0,63.0,,,,,,,,,,,
keesean-johnson,KeeSean Johnson,WR,,,,,,,,1.0,58.0,4.0,,,
kian-schaffer-baker,Kian SCHAFFER-BAKER,WR,,,,,,,,2.0,130.0,8.0,,,
quincy-vaughn,Quincy VAUGHN,QB,,,,,,,,,,,2.0,5.0,
ssk-dst,SSK DST,DST,,,,,,,37.0,,,,,,1.0
ssk-k,SSK K,K,2.0,65.0,,1.0,,,,,,,,,
ssk-qb,SSK QB,QB,,,0.0,,3.0,349.0,,,,,2.0,3.0,
samuel-emilus,Samuel Emilus,WR,,,,,,,,0.0,90.0,4.0,,,
tevin-jones,Tevin JONES,WR,,,,,,,,1.0,31.0,3.0,,,
thomas-bertrand-hudon,Thomas Bertrand-Hudon,RB,,,,,,,,0.0,4.0,1.0,0.0,30.0,
tommy-stevens,Tommy STEVENS,QB,,,,,,,,,,,2.0,3.0,
trevor-harris,Trevor HARRIS,QB,,,0.0,,3.0,349.0,,,,,,,
tyreik-mcallister,Tyreik McAllister,RB/WR,,,,,,,,,,,0.0,14.0,
vernon-adams-jr,Vernon ADAMS JR.,QB,,,,,1.0,254.0,,,,,,9.0,
vyshonne-janusas,Vyshonne JANUSAS,WR,,,,,,,,0.0,8.0,1.0,,,
