player_id,player_name,positions,1pt_conversion,conversions,field_goal_yards,fumble_recoveries,lost_fumbles,missed,pass_defended,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
adrian-killins,Adrian Killins,RB,,,,,,,,,,,,1.0,1.0,,,,
brandon-arconado,Brandon Arconado,WR,,,,,,,,,,,,10.0,3.0,,,,
bruce-hector,Bruce Hector,DT/DL,,,,,,,,,,,,,,,,,1.0
bunmi-rotimi,Bunmi Rotimi,DB/DT/DL/OLB,,,,,,,,,,,,,,,,0.5,2.0
caevon-patton,Caevon Patton,DE/DL,,,,,,,,,,,,,,,,,3.0
charleston-rambo,Charleston RAMBO,WR,,,,,,,,,,,,29.0,3.0,,,,
cody-latimer,Cody Latimer,TE,,,,,,,,,,,,66.0,6.0,,,,
darnell-sankey,Darnell Sankey,LB,,,,,,,1.0,,,,,,,,,0.5,8.0
devante-bausby,De\'Vante Bausby,CB/DB,,,,,,,1.0,,,,,,,,,,2.0
deveon-smith,De\'Veon Smith,RB,1.0,0.0,,,,,,,,,,6.0,1.0,,49.0,,
deddrick-thomas,Deddrick Thomas,WR,,,,,,,,,,,,25.0,3.0,,3.0,,
donald-payne,Donald Payne,OLB/LB,,,,1.0,,,,,,,,,,,,,5.0
eli-rogers,Eli Rogers,WR,,,,,,,,,,,,20.0,2.0,,,,
gerald-willis,Gerald Willis,DL,,,,,,,,,,,,,,,,1.0,2.0
guardians-dst,Guardians DST,DST,,,,,,,,,,10.0,,,,,,2.0,
guardians-k,Guardians K,K,,,35.0,,,0.0,,,,,,,,,,,
guardians-qb,Guardians QB,QB,,,,,,,,,219.0,,,,,1.0,43.0,,
isaiah-graham-mobley,Isaiah Graham-Mobley,LB,,,,,,,,,,,,,,,,,1.0
jacoby-jones,Jacoby Jones,DL,,,,,,,,,,,,,,,,,1.0
jah-maine-martin,Jah-Maine Martin,RB,,,,,2.0,,,,,,,7.0,1.0,,9.0,,
jose-borregales,Jose Borregales,K,,,35.0,,,0.0,,,,,,,,,,,
josh-hawkins,Josh Hawkins,DB,,,,,,,1.0,,,,,,,,,,2.0
josiah-coatney,Josiah Coatney,DL,,,,1.0,,,,,,,,,,,,0.5,1.0
kelvin-taylor,Kelvin Taylor,RB,,,,,,,,,,,,9.0,1.0,,25.0,,
kenneth-farrow,Kenneth Farrow,RB,,,,,,,,,,,,,,,17.0,,
kyle-sloter,Kyle Sloter,QB,,,,,,,,1.0,124.0,,,,,,-2.0,,
logan-carter,Logan Carter,TE,,,,,,,,,,,,13.0,1.0,,,,
lujuan-winningham,LuJuan Winningham,WR,,,,,,,,,,,,13.0,1.0,,,,
marcus-murphy-2,Marcus Murphy,DB,,,,,,,,,,,,,,,,,1.0
matt-elam,Matt Elam,DB,,,,,,,,,,,,,,,,,2.0
mike-lee,Mike Lee,DB,,,,,,,,,,,,,,,,,7.0
paxton-lynch,Paxton Lynch,QB,,,,,,,,,219.0,,,,,1.0,43.0,,
renegades-dst,Renegades DST,DST,,,,2.0,,,,,,9.0,,,,,,4.0,
renegades-k,Renegades K,K,,,21.0,,,0.0,,,,,,,,,,,
renegades-qb,Renegades QB,QB,,,,,,,,1.0,124.0,,,,,,3.0,,
sal-cannella,Sal Cannella,TE,,,,,,,,,,,,33.0,5.0,,,,
shakur-brown,Shakur Brown,CB/DB,,,,,,,,,,,,,,,,,3.0
shaquille-wiggins,Shaquille Wiggins,DB,,,,,,,,,,,,,,,,,2.0
stansly-maponga,Stansly Maponga,DL/DB,,,,,,,,,,,,,,,,,1.0
taylor-russolino,Taylor Russolino,K,,,21.0,,,0.0,,,,,,,,,,,
terrance-plummer,Terrance Plummer,DB/LB,,,,,,,,,,,,,,,,1.0,5.0
terrance-smith,Terrance Smith,LB,,,,,,,,,,,,,,,,,9.0
tyler-vaughns,Tyler Vaughns,WR,,,,,,,,,,,1.0,39.0,5.0,,,,
will-clarke,Will Clarke,DB/DT/DL/OLB,,,,,,,,,,,,,,,,1.0,2.0
will-hill,Will Hill,DB,,,,,,,,,,,,,,,,0.5,10.0
willie-taylor,Willie Taylor,LB,,,,,,,,,,,,,,,,1.0,1.0
