player_id,player_name,positions,recv_fd,recv_lg,recv_rec,recv_tar,recv_yds,ret_lg,ret_num,ret_yds
terrell-sinkfield,Terrell Sinkfield,WR,,,,1.0,,,,
troy-stoudermire,Troy Stoudermire,DB,1.0,3.0,1.0,2.0,3.0,10.0,2.0,12.0
