player_id,player_name,positions,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,forced_fumbles,fumble_recoveries,interceptions,kicking_deuce,kicking_pat,kicking_pat_att,kicking_pat_pct,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,tackles
akeem-smith,Akeem Smith,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
ammon-lakip,Ammon Lakip,K,,,,,,,,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
bashu-delco-ii,Bashu Delco Ii,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,10.0,0.0,0.0,0.0,0.0,10.0,1.0,,,,,,,,0.0,5.0
cedric-thomas,Cedric Thomas,DB,3.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
dakota-moore,Dakota Moore,,2.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0
dalton-cole,Dalton Cole,QB,,450.0,,,,,,,,,,,,0.0,,,,,40.0,18.0,28.0,7.0,0.0,70.0,0.0,2.0,133.0,0.0,,,,,,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,,
damonte-mccurdy,Damonte Mccurdy,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0
darryl-overstreet-jr,Darryl Overstreet Jr.,QB,,625.0,,,,,,,,,,,,0.0,,,,,32.0,20.0,35.0,12.0,0.0,107.0,0.0,2.0,246.0,0.0,,,,,,,,1.0,4.0,0.0,5.0,0.0,3.0,7.0,,
dezmon-epps,Dezmon Epps,WR,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,0.0,2.0,0.0,1.0,7.0,0.0,1.0
ezekiel-rose,Ezekiel Rose,DL,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
