player_id,player_name,positions,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
blake-jackson,Blake Jackson,WR,,,,,,,,,,,0.0,43.0,3.0,,,
chandler-rogers,Chandler Rogers,QB,,,,1.0,,,,0.0,199.0,,,,,0.0,0.0,
gary-jennings,Gary Jennings,WR,,,,,,,,,,,1.0,4.0,1.0,,,
hakeem-butler,Hakeem Butler,WR,,,,,,,,,,,0.0,47.0,3.0,,,
harrison-frost,Harrison FROST,QB,,,,1.0,,1.0,,2.0,242.0,,,,,0.0,-7.0,
ian-wheeler,Ian Wheeler,RB,,,,,,,,,,,0.0,0.0,1.0,0.0,-1.0,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,,,,0.0,37.0,3.0,0.0,1.0,
jalen-wydermyer,Jalen Wydermyer,TE,,,,,,,,,,,0.0,0.0,0.0,,,
james-bostic,James Bostic,WR/TE,,,,,,,,,,,0.0,0.0,0.0,,,
james-robinson,James Robinson,RB,,,,,,,,,,,0.0,11.0,1.0,0.0,13.0,
jarveon-howard,Jarveon Howard,RB,,,,,,,,,,,0.0,28.0,2.0,0.0,56.0,
kaden-prather,Kaden Prather,WR,,,,,,,,,,,0.0,7.0,1.0,,,
kevon-latulas,Kevon Latulas,RB,,,,,,,,,,,0.0,20.0,3.0,0.0,4.0,
kylin-james,Kylin James,RB,,,,,,,,,,,0.0,45.0,3.0,0.0,6.0,
louisville-kings-dst,LOUISVILLE KINGS DST,DST/K,,40.0,1.0,,1.0,,1.0,,,16.0,,,,,,1.0
louisville-kings-qb,LOUISVILLE KINGS QB,QB,,,,1.0,,,,0.0,199.0,,,,,0.0,0.0,
lucky-jackson,Lucky Jackson,WR,,,,,,,,,,,0.0,41.0,3.0,,,
ramiz-ahmed,Ramiz Ahmed,K,1.0,42.0,,,,,1.0,,,,,,,,,
st-louis-battlehawks-dst,ST. LOUIS BATTLEHAWKS DST,DST/K,1.0,42.0,,,1.0,,1.0,,,3.0,,,,,,6.0
st-louis-battlehawks-qb,ST. LOUIS BATTLEHAWKS QB,QB,,,,1.0,,1.0,,2.0,242.0,,,,,0.0,-7.0,
steven-mcbride,Steven McBride,WR,,,,,,,,,,,1.0,14.0,2.0,,,
tanner-brown,Tanner Brown,K,,40.0,,,,,1.0,,,,,,,,,
tarik-black,Tarik Black,WR,,,,,,,,,,,0.0,72.0,4.0,,,
tyler-hudson,Tyler Hudson,WR,,,,,,,,,,,0.0,11.0,1.0,,,
tyler-neville,Tyler Neville,TE,,,,,,,,,,,0.0,4.0,2.0,,,
zach-davidson,Zach Davidson,TE,,,,,,,,,,,0.0,45.0,2.0,,,
