player_id,player_name,positions,assist_tackles,completions,fg_20_29,fg_30_39,fg_40_49,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
alonzo-moore,Alonzo Moore,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,1.0,,,,,,,1.0
alonzo-russell,Alonzo Russell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,,,,,,,
andrew-ankrah,Andrew Ankrah,DE/DL/DB/LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
anthony-johnson,Anthony Johnson,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
austin-proehl,Austin Proehl,WR,,,,,,,,,,,,,,,,,,,-5.0,-5.0,,,1.0,,,,,,1.0,1.0,,,,,,,
bj-daniels,B.J. Daniels,QB,,5.0,,,,,,,,1.0,,,,,10.0,1.0,100.0,,,,,,,,,,,,,,7.0,,84.0,,,,
ben-johnson,Ben Johnson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,1.0,,,,,,,1.0
brandon-reilly,Brandon Reilly,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,3.0,,,,,,,2.0
brandon-silvers,Brandon Silvers,QB,,4.0,,,,,,,,,,,,,10.0,,27.0,,,,,,,,,,,,,,,,,,,,
brock-miller,Brock Miller,P,,,,,,,,,,,,,,,,,,,,,40.4,52.0,,202.0,5.0,11.0,2.0,,,,,,,,,,
carlton-agudosi,Carlton Agudosi,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,1.0,,,,,,,1.0
casey-sayles,Casey Sayles,DT/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
channing-stribling,Channing Stribling,CB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
christine-michael,Christine Michael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,27.0,,,,
connor-hamlett,Connor Hamlett,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,,,,,,,
dallas,Dallas,,,,,,,,,20.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darius-hillary,Darius Hillary,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
david-rivers,David Rivers,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
davonte-lambert,Davonte Lambert,DT/DL/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
