player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
justin-hickman,Justin Hickman,DB/DE,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ken-bishop,Ken Bishop,DB/DL,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kevin-elliott,Kevin Elliott,WR,,,,,,,,,,,,,,,,14.0,4.0,11.0,1.0,3.0,46.0,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
kienan-lafrance,Kienan LaFrance,RB,,,,1.0,1.0,,,,,,,,,,,-1.0,1.0,1.0,,-1.0,-1.0,,,,,,,2.0,5.0,,6.0,,,,,,,,,,
lirim-hajrullahu,Lirim Hajrullahu,K,,,,,,,,,,,,,,,,,,,,,,64.0,2.0,2.0,30.0,,122.0,,,,,,6.0,,,3.0,2.0,27.0,6.0,,
llevi-noel,Llevi Noel,WR,,,,,,,,,,,,,,,,,,,,,,24.0,1.0,,,,24.0,,,,,,,,,,,,,,
marcus-alford,Marcus Alford,DB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marshall-mcfadden,Marshall McFadden,LB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matt-black,Matt Black,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitchell-white,Mitchell White,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mossis-madu,Mossis Madu,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,30.0,,91.0,,,,,,,,,,
moton-hopkins,Moton Hopkins,DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nicholas-taylor,Nicholas Taylor,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ricky-foley,Ricky Foley,DB/DL,,,1.0,1.0,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serderius-bryant,Serderius Bryant,LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sergio-castillo,Sergio CASTILLO,K,,,,,,,,,,,,,,,,,,,,,,70.0,3.0,3.0,59.0,,195.0,,,,,,,,,,,,,,
shawn-lemon,Shawn Lemon,DB/DL/DE,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taylor-reed,Taylor Reed,LB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tori-gurley,Tori Gurley,WR,,,,,,,,,,,,,,,,43.0,3.0,5.0,,6.0,57.0,,,,,,,,,,,,,,,,,,,,
trevor-harris,Trevor HARRIS,QB,,,,,,,,35.0,25.0,,34.0,12.0,2.0,,274.0,,,,,,,,,,,,,3.0,,1.0,2.0,,6.0,1.0,1.0,,,,,,
vidal-hazelton,Vidal Hazelton,WR,,,,,,,,,,,,,,,,19.0,3.0,5.0,,-2.0,37.0,,,,,,,,,,,,,,,,,,,,
zack-evans,Zack Evans,DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
