player_id,player_name,positions,fg_made,pass_td,recv_td
aleki-tapa,Aleki Tapa,OL,,,2.0
dequan-dudley,DeQuan  Dudley,WR,,3.0,
ed-smith-jr,Ed Smith Jr.,WR,2.0,,
evan-lewandowski,Evan Lewandowski,QB,,,1.0
jacobe-thomas,Jacobe Thomas,DB,2.0,,
justin-clarkson,Justin Clarkson,WR,,,1.0
naeem-alexander,Naeem Alexander,DB,,3.0,
travier-fields-jackson,Travier Fields-Jackson,ATH,,,1.0
trayoun-maxie,Trayoun Maxie,DB,,,1.0
