player_id,player_name,positions,blocked_punt,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,safety
adrian-martinez,Adrian Martinez,QB,,,,,,,,,,,,,0.0,3.0,,
alex-ellis,Alex Ellis,TE,,,,,,,,,,0.0,7.0,1.0,,,,
amari-rodgers,Amari Rodgers,WR,,,,,,,,,,1.0,82.0,4.0,,,,
binjimen-victor,Binjimen Victor,WR,,,,,,,,,,0.0,33.0,3.0,,,,
cj-marable,CJ Marable,RB,,,,,,1.0,,,,0.0,10.0,3.0,0.0,19.0,,
camron-harris,Cam\'Ron Harris,RB,,,,,,1.0,,,,0.0,1.0,1.0,0.0,34.0,,
chris-rowland,Chris Rowland,WR,,,,,,,,,,1.0,21.0,2.0,,,,
darius-hagans,Darius Hagans,RB,,,,,,,,,,0.0,0.0,0.0,,,,
defenders-dst,Defenders DST,DST,1.0,,2.0,,0.0,,,,18.0,,,,,,4.0,
defenders-k,Defenders K,K/QB,,62.0,,0.0,,,2.0,161.0,,,,,0.0,24.0,,
deon-cain,Deon Cain,WR,,,,,,,,,,0.0,24.0,3.0,,,,
gary-jennings,Gary Jennings,WR,,,,,,,,,,0.0,0.0,0.0,,,,
isaiah-zuber,Isaiah Zuber,WR,,,,,,,,,,0.0,0.0,0.0,,,,
jace-sternberger,Jace Sternberger,TE,,,,,,,,,,0.0,50.0,2.0,,,,
jordan-taamu,Jordan Ta\'amu,QB,,,,0.0,,,2.0,161.0,,,,,0.0,24.0,,
keke-coutee,Keke Coutee,WR,,,,,,,,,,0.0,0.0,0.0,,,,
kelvin-harmon,Kelvin Harmon,WR,,,,,,,,,,1.0,93.0,5.0,,,,
marcus-baugh,Marcus Baugh,TE/WR,,,,,,,,,,0.0,0.0,0.0,,,,
matt-corral,Matt Corral,QB,,,,0.0,,1.0,1.0,240.0,,,,,0.0,51.0,,
matthew-mccrane,Matthew McCrane,K,,62.0,,,,,,,,,,,,,,
ricky-person-jr,Ricky Person Jr.,RB,,,,,,,,,,0.0,22.0,2.0,0.0,57.0,,
stallions-dst,Stallions DST,DST,,,1.0,,0.0,,,,18.0,,,,,,0.0,1.0
stallions-k,Stallions K,K,,151.0,,,,,,,,,,,,,,
stallions-qb,Stallions QB,QB,,,,0.0,,1.0,1.0,240.0,,,,,0.0,54.0,,
trae-barry-2,Trae Barry,LS,,,,,,,,,,,,,0.0,0.0,,
ty-scott,Ty Scott,WR,,,,,,,,,,0.0,0.0,0.0,,,,
vyncint-smith,Vyncint Smith,WR,,,,,,,,,,0.0,33.0,2.0,,,,
