player_id,player_name,positions,interceptions_lost,interceptions_made,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-mccarron,AJ McCarron,QB,,,,3.0,236.0,,,,,18.0,,
adam-sparks,Adam Sparks,DB/CB,,,1.0,,,,,,,,,3.0
antonio-phillips,Antonio Phillips,DB,,,,,,,,,,,,3.0
austin-proehl,Austin Proehl,WR,,,,,,,28.0,2.0,,,,
battlehawks-dst,Battlehawks DST,DST,,2.0,,,,,,,,,4.0,
battlehawks-qb,Battlehawks QB,QB,,,,3.0,236.0,,,,,18.0,,
brett-hundley,Brett Hundley,QB,,,,1.0,120.0,,,,,5.0,,
brian-hill,Brian Hill,RB,,,1.0,,,,29.0,4.0,,71.0,,
cj-avery,C.J. Avery,LB,,,1.0,,,,,,,,,6.0
cam-sutton,Cam Sutton,TE,,,,,,,27.0,2.0,,,,
carson-wells,Carson Wells,OLB/LB,,,,,,,,,,,1.5,4.0
cinque-sweeting,Cinque Sweeting,WR,,,,,,,23.0,3.0,,,,
dj-calhoun,D.J. Calhoun,LB,,,,,,,,,,,,1.0
darrius-shepherd,Darrius Shepherd,WR,,,,,,2.0,79.0,7.0,,,,
deandre-torrey,DeAndre Torrey,RB,,,,,,,18.0,2.0,,,,
deontay-anderson,Deontay Anderson,SAF/DB,,,,,,,,,,,,4.0
elijah-hamilton,Elijah Hamilton,DB,,,1.0,,,,,,,,,3.0
elorm-lumor,Elorm Lumor,DL/DE,,,,,,,,,,,1.0,2.0
gary-jennings,Gary Jennings,WR,,,,1.0,4.0,1.0,4.0,1.0,,,,
gelen-robinson,Gelen Robinson,DL/DB,,,,,,,,,,,,1.0
george-campbell,George Campbell,WR,,,,,,,54.0,3.0,,,,1.0
geronimo-allison,Geronimo Allison,WR,,,,,,,13.0,2.0,,,,
hakeem-butler,Hakeem Butler,WR,,,,,,,36.0,5.0,,,,
jawuan-johnson,Jawuan Johnson,LB,,,,,,,,,,,,2.0
jeff-badet,Jeff Badet,WR,,,,,,,34.0,4.0,,,,
john-lovett,John Lovett,RB,,,,,,1.0,44.0,3.0,,19.0,,
kareem-walker,Kareem Walker,RB,,,,,,,,,1.0,15.0,,
kevin-atkins,Kevin Atkins,DL/DT,,,,,,,,,,,,1.0
keylon-kennedy,Keylon Kennedy,DB/CB,,,,,,,,,,,,4.0
laron-stokes,LaRon Stokes,DL/DE/DT,,,,,,,,,,,,1.0
lacale-london,Lacale London,DL/DE,,,,,,,,,,,0.5,5.0
lakiem-williams,Lakiem Williams,LB,,,,,,,,,,,,2.0
lavert-hill,Lavert Hill,DB/CB,,2.0,,,,,,,,,,2.0
luis-perez,Luis Perez,QB,2.0,,,,99.0,,,,,4.0,,
lukas-denis,Lukas Denis,S/FS/DB,,,,,,,,,,,,1.0
martavis-bryant,Martavis Bryant,WR,,,,,,,30.0,3.0,,,,
mataeo-durant,Mataeo Durant,RB,,,,,,,,,,2.0,,
maurice-smith,Maurice Smith,DB,,,,,,,,,,,1.0,8.0
mike-rose,Mike Rose,DL/DB/MLB/LB,,,,,,,,,,,,3.0
nate-meadors,Nate Meadors,FS/DB,,,2.0,,,,,,,,,8.0
nijuel-hill,Nijuel Hill,DB,,,,,,,,,,,,1.0
pita-taumoepenu,Pita Taumoepenu,OLB/LB,,,,,,,,,,,2.0,2.0
rod-smith,Rod Smith,RB,,,,,,,20.0,1.0,,15.0,,
sean-price,Sean Price,TE/WR,,,,,,,10.0,2.0,,,,
sebastian-brandt,Sebastian Brandt,DB/CB,,,2.0,,,,,,,,,2.0
steven-mitchell-jr,Steven Mitchell Jr.,WR,,,,,,,6.0,1.0,,,,
travis-feeney,Travis Feeney,DL/DB/OLB/LB,,,1.0,,,,,,,,1.0,2.0
vic-beasley,Vic Beasley,DE/LB,,,,,,,,,,,,3.0
vipers-dst,Vipers DST,DST,,,,,,,,,,,3.0,
vipers-qb,Vipers QB,QB,2.0,,,1.0,219.0,,,,,9.0,,
willie-harvey,Willie Harvey,LB,,,,,,,,,,,,2.0
