player_id,player_name,positions,interceptions,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
jalen-morton,Jalen Morton,QB,0.0,,,,0.0,0.0
logan-wright,Logan Wright,RB,,,,,0.0,0.0
shiloh-flanagan,Shiloh Flanagan,WR,,1.0,25.0,3.0,,
