game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_tds,receiving_yards,receptions,rushing_yards
FOOTBALL_XFL_2023_2_19_SEA@DC,2023-02-19,2023,1,XFL,SEA,DC,,,,14.0,1.0,
FOOTBALL_XFL_2023_2_25_DC@VGS,2023-02-25,2023,2,XFL,DC,VGS,,,,24.0,3.0,
FOOTBALL_XFL_2023_3_5_STL@DC,2023-03-05,2023,3,XFL,STL,DC,,,,30.0,3.0,
SYNTHETIC_XFL_2023_W3_DEFENDERS,,2023,3,XFL,,,0.0,0.0,,,,
FOOTBALL_XFL_2023_3_12_VGS@DC,2023-03-12,2023,4,XFL,VGS,DC,,,,17.0,5.0,
SYNTHETIC_XFL_2023_W4_DEFENDERS,,2023,4,XFL,,,0.0,0.0,,,,
FOOTBALL_XFL_2023_3_18_DC@STL,2023-03-18,2023,5,XFL,DC,STL,,,,6.0,2.0,2.0
SYNTHETIC_XFL_2023_W5_DEFENDERS,,2023,5,XFL,,,0.0,1.0,,,,
FOOTBALL_XFL_2023_3_27_HOU@DC,2023-03-27,2023,6,XFL,HOU,DC,,,,65.0,5.0,
SYNTHETIC_XFL_2023_W6_DEFENDERS,,2023,6,XFL,,,0.0,1.0,,,,
FOOTBALL_XFL_2023_4_1_DC@ORL,2023-04-01,2023,7,XFL,DC,ORL,,,,30.0,4.0,
SYNTHETIC_XFL_2023_W7_DEFENDERS,,2023,7,XFL,,,0.0,0.0,,,,
FOOTBALL_XFL_2023_4_9_DC@SEA,2023-04-09,2023,8,XFL,DC,SEA,,,,12.0,2.0,
FOOTBALL_XFL_2023_4_16_ARL@DC,2023-04-16,2023,9,XFL,ARL,DC,,,1.0,74.0,5.0,
SYNTHETIC_XFL_2023_W9_DEFENDERS,,2023,9,XFL,,,,1.0,,,,
FOOTBALL_XFL_2023_4_22_DC@SA,2023-04-22,2023,10,XFL,DC,SA,,,,59.0,4.0,
SYNTHETIC_XFL_2023_W10_DEFENDERS,,2023,10,XFL,,,0.0,1.0,,,,
