game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,throwAttempts,yardsReceived,yardsThrown
2023-06-03-CHI-MIN,2023-06-03,2023,6,,CHI,MIN,,,8.0,5.0,3.0,1.0,5.0,168.0,-10.0
2023-06-17-MIN-MAD,2023-06-17,2023,8,,MIN,MAD,1.0,3.0,10.0,11.0,,1.0,11.0,69.0,62.0
2023-07-15-CHI-MIN,2023-07-15,2023,12,,CHI,MIN,2.0,,7.0,4.0,3.0,,4.0,154.0,21.0
2023-07-23-DET-MIN,2023-07-23,2023,13,,DET,MIN,,4.0,10.0,9.0,2.0,1.0,9.0,96.0,48.0
