game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,passing_tds,passing_yards,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_CFL_2023_W4_OTT,,2023,4,CFL,,,,,,,0.0,7.0,,
SYNTHETIC_CFL_2023_W5_OTT,,2023,5,CFL,,,2.0,,0.0,149.0,1.0,91.0,,
SYNTHETIC_CFL_2023_W6_OTT,,2023,6,CFL,,,1.0,,0.0,261.0,2.0,74.0,,
SYNTHETIC_CFL_2023_W7_OTT,,2023,7,CFL,,,0.0,,2.0,254.0,0.0,63.0,,
SYNTHETIC_CFL_2023_W8_OTT,,2023,8,CFL,,,1.0,,0.0,158.0,0.0,82.0,,
SYNTHETIC_CFL_2023_W9_OTT,,2023,9,CFL,,,0.0,,0.0,174.0,0.0,21.0,,
SYNTHETIC_CFL_2023_W10_OTT,,2023,10,CFL,,,0.0,,3.0,292.0,0.0,42.0,,
SYNTHETIC_CFL_2023_W11_OTT,,2023,11,CFL,,,1.0,,0.0,130.0,1.0,42.0,,
SYNTHETIC_CFL_2023_W12_OTT,,2023,12,CFL,,,0.0,,0.0,172.0,0.0,28.0,,
SYNTHETIC_CFL_2023_W14_OTT,,2023,14,CFL,,,1.0,,0.0,265.0,1.0,42.0,,
SYNTHETIC_CFL_2023_W15_OTT,,2023,15,CFL,,,1.0,0.0,0.0,233.0,3.0,46.0,0.0,1.0
SYNTHETIC_CFL_2023_W16_OTT,,2023,16,CFL,,,0.0,,2.0,243.0,1.0,53.0,,
SYNTHETIC_CFL_2023_W17_OTT,,2023,17,CFL,,,2.0,,0.0,247.0,0.0,35.0,,
SYNTHETIC_CFL_2023_W18_OTT,,2023,18,CFL,,,0.0,,0.0,72.0,,,,
SYNTHETIC_CFL_2023_W19_OTT,,2023,19,CFL,,,1.0,,1.0,183.0,0.0,13.0,,
SYNTHETIC_CFL_2023_W21_OTT,,2023,21,CFL,,,2.0,,2.0,273.0,0.0,73.0,,
SYNTHETIC_CFL_2024_W2_OTT,,2024,2,CFL,,,,,,,1.0,2.0,,
SYNTHETIC_CFL_2024_W4_OTT,,2024,4,CFL,,,,,,,1.0,2.0,,
SYNTHETIC_CFL_2024_W5_OTT,,2024,5,CFL,,,1.0,,0.0,102.0,0.0,55.0,,
SYNTHETIC_CFL_2024_W6_OTT,,2024,6,CFL,,,0.0,,0.0,18.0,1.0,6.0,,
SYNTHETIC_CFL_2024_W7_OTT,,2024,7,CFL,,,,,,,0.0,1.0,,
SYNTHETIC_CFL_2024_W8_OTT,,2024,8,CFL,,,,,,,1.0,1.0,,
SYNTHETIC_CFL_2024_W10_OTT,,2024,10,CFL,,,1.0,,0.0,211.0,1.0,72.0,,
SYNTHETIC_CFL_2024_W11_OTT,,2024,11,CFL,,,,,,,1.0,1.0,,
SYNTHETIC_CFL_2024_W12_OTT,,2024,12,CFL,,,,,,,1.0,3.0,,
SYNTHETIC_CFL_2024_W13_OTT,,2024,13,CFL,,,,,,,0.0,2.0,,
SYNTHETIC_CFL_2024_W14_OTT,,2024,14,CFL,,,,,,,0.0,1.0,,
SYNTHETIC_CFL_2024_W15_OTT,,2024,15,CFL,,,,,,,0.0,1.0,,
SYNTHETIC_CFL_2024_W17_OTT,,2024,17,CFL,,,,,,,0.0,4.0,,
SYNTHETIC_CFL_2024_W19_OTT,,2024,19,CFL,,,0.0,,0.0,7.0,0.0,13.0,,
SYNTHETIC_CFL_2024_W21_OTT,,2024,21,CFL,,,,,,,0.0,42.0,,
SYNTHETIC_CFL_2025_W1_OTT,,2025,1,CFL,,,0.0,,0.0,23.0,1.0,3.0,,
SYNTHETIC_CFL_2025_W2_OTT,,2025,2,CFL,,,0.0,,0.0,5.0,1.0,0.0,,
SYNTHETIC_CFL_2025_W3_OTT,,2025,3,CFL,,,0.0,,1.0,111.0,0.0,64.0,,
SYNTHETIC_CFL_2025_W4_OTT,,2025,4,CFL,,,1.0,,0.0,235.0,1.0,60.0,,
SYNTHETIC_CFL_2025_W7_OTT,,2025,7,CFL,,,1.0,,0.0,149.0,0.0,43.0,,
SYNTHETIC_CFL_2025_W9_OTT,,2025,9,CFL,,,,,,,1.0,7.0,,
SYNTHETIC_CFL_2025_W10_OTT,,2025,10,CFL,,,,,,,1.0,1.0,,
SYNTHETIC_CFL_2025_W11_OTT,,2025,11,CFL,,,0.0,,1.0,125.0,1.0,21.0,,
SYNTHETIC_CFL_2025_W12_OTT,,2025,12,CFL,,,0.0,,1.0,277.0,1.0,59.0,,
SYNTHETIC_CFL_2025_W14_OTT,,2025,14,CFL,,,0.0,,1.0,301.0,2.0,69.0,,
SYNTHETIC_CFL_2025_W15_OTT,,2025,15,CFL,,,0.0,,1.0,307.0,2.0,58.0,,
SYNTHETIC_CFL_2025_W18_OTT,,2025,18,CFL,,,0.0,,1.0,99.0,0.0,8.0,,
SYNTHETIC_CFL_2025_W19_OTT,,2025,19,CFL,,,0.0,,0.0,162.0,0.0,36.0,,
