game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-06-DAL-ATX,2023-05-06,2023,2,,DAL,ATX,,1.0,5.0,3.0,2.0,1.0,,4.0,1.0,41.0,13.0
2023-05-13-HTX-DAL,2023-05-13,2023,3,,HTX,DAL,,,2.0,1.0,,,,2.0,1.0,26.0,-10.0
2023-06-03-DAL-HTX,2023-06-03,2023,6,,DAL,HTX,,,4.0,3.0,,,,4.0,1.0,9.0,3.0
2023-06-17-DAL-ATL,2023-06-17,2023,8,,DAL,ATL,,,6.0,4.0,,,,5.0,1.0,40.0,29.0
2023-06-24-ATL-DAL,2023-06-24,2023,9,,ATL,DAL,,,2.0,2.0,,,,3.0,1.0,6.0,-7.0
2023-07-08-ATX-DAL,2023-07-08,2023,11,,ATX,DAL,,1.0,2.0,1.0,1.0,,,1.0,,12.0,-4.0
2023-07-15-HTX-DAL,2023-07-15,2023,12,,HTX,DAL,1.0,1.0,1.0,2.0,,,6.0,2.0,,1.0,32.0
