game_id,date,season,week,league,away,home,conversions,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_3_26_SA@ARL,2023-03-26,2023,6,XFL,SA,ARL,,,12.0,1.0,,38.0
FOOTBALL_XFL_2023_3_31_SEA@ARL,2023-03-31,2023,7,XFL,SEA,ARL,,,,1.0,,34.0
FOOTBALL_XFL_2023_4_8_ARL@ORL,2023-04-08,2023,8,XFL,ARL,ORL,,,1.0,2.0,,47.0
FOOTBALL_XFL_2023_4_16_ARL@DC,2023-04-16,2023,9,XFL,ARL,DC,,,69.0,6.0,,31.0
FOOTBALL_XFL_2023_4_23_HOU@ARL,2023-04-23,2023,10,XFL,HOU,ARL,,,22.0,2.0,,29.0
SYNTHETIC_UFL_2024_W1_RENEGADES,,2024,1,UFL,,,,0.0,6.0,1.0,0.0,30.0
SYNTHETIC_UFL_2024_W2_RENEGADES,,2024,2,UFL,,,1.0,0.0,18.0,2.0,0.0,19.0
SYNTHETIC_UFL_2024_W3_RENEGADES,,2024,3,UFL,,,,0.0,36.0,4.0,0.0,40.0
SYNTHETIC_UFL_2024_W4_RENEGADES,,2024,4,UFL,,,,0.0,41.0,4.0,0.0,17.0
SYNTHETIC_UFL_2024_W5_RENEGADES,,2024,5,UFL,,,,0.0,25.0,4.0,0.0,16.0
SYNTHETIC_UFL_2024_W7_RENEGADES,,2024,7,UFL,,,,,,,0.0,2.0
