game_id,date,season,week,league,away,home,1pt_conversion,3pt_pass,conversions,field_goal_yards,interceptions_lost,lost_fumbles,missed,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_UFL_2024_W3_ROUGHNECKS,,2024,3,UFL,,,,,1.0,60.0,1.0,,,1.0,209.0,1.0,19.0
SYNTHETIC_UFL_2024_W4_ROUGHNECKS,,2024,4,UFL,,,,,1.0,25.0,0.0,,1.0,1.0,191.0,0.0,9.0
SYNTHETIC_UFL_2024_W5_ROUGHNECKS,,2024,5,UFL,,,,,,36.0,2.0,,,1.0,238.0,0.0,6.0
SYNTHETIC_UFL_2024_W6_ROUGHNECKS,,2024,6,UFL,,,,,,,0.0,,,0.0,135.0,0.0,0.0
SYNTHETIC_UFL_2024_W7_ROUGHNECKS,,2024,7,UFL,,,,,,162.0,0.0,,,0.0,138.0,0.0,14.0
SYNTHETIC_UFL_2024_W8_ROUGHNECKS,,2024,8,UFL,,,,,2.0,,1.0,1.0,1.0,1.0,196.0,1.0,42.0
SYNTHETIC_UFL_2024_W9_ROUGHNECKS,,2024,9,UFL,,,,,,39.0,0.0,,,2.0,207.0,0.0,66.0
SYNTHETIC_UFL_2024_W10_ROUGHNECKS,,2024,10,UFL,,,,,,64.0,1.0,,1.0,0.0,248.0,0.0,43.0
SYNTHETIC_UFL_2025_W1_ROUGHNECKS,,2025,1,UFL,,,,,,,2.0,,,1.0,89.0,0.0,74.0
SYNTHETIC_UFL_2025_W2_ROUGHNECKS,,2025,2,UFL,,,,,,41.0,1.0,,,1.0,142.0,0.0,27.0
SYNTHETIC_UFL_2025_W3_ROUGHNECKS,,2025,3,UFL,,,,,,64.0,0.0,,1.0,1.0,120.0,0.0,36.0
SYNTHETIC_UFL_2025_W4_ROUGHNECKS,,2025,4,UFL,,,,,,44.0,1.0,,1.0,0.0,271.0,1.0,23.0
SYNTHETIC_UFL_2025_W5_ROUGHNECKS,,2025,5,UFL,,,,1.0,,67.0,1.0,,,0.0,171.0,0.0,17.0
SYNTHETIC_UFL_2025_W6_ROUGHNECKS,,2025,6,UFL,,,,,1.0,84.0,0.0,,,1.0,149.0,0.0,4.0
SYNTHETIC_UFL_2025_W7_ROUGHNECKS,,2025,7,UFL,,,1.0,,,,0.0,,,1.0,167.0,0.0,8.0
SYNTHETIC_UFL_2025_W8_ROUGHNECKS,,2025,8,UFL,,,,,,77.0,1.0,1.0,,2.0,316.0,0.0,24.0
SYNTHETIC_UFL_2025_W9_ROUGHNECKS,,2025,9,UFL,,,1.0,,,28.0,0.0,1.0,,2.0,232.0,0.0,23.0
SYNTHETIC_UFL_2025_W10_ROUGHNECKS,,2025,10,UFL,,,1.0,,,63.0,0.0,,,0.0,193.0,0.0,1.0
