game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-13-PHI-BOS,2023-05-13,2023,3,,PHI,BOS,1.0,1.0,6.0,6.0,1.0,8.0,2.0,62.0,24.0
2023-05-20-BOS-MTL,2023-05-20,2023,4,,BOS,MTL,,2.0,3.0,3.0,,3.0,,26.0,24.0
