game_id,date,season,week,league,away,home,interceptions_made,sacks,tackles
SYNTHETIC_CFL_2023_W10_EDM,,2023,10,CFL,,,0.0,0.0,3.0
SYNTHETIC_CFL_2023_W11_EDM,,2023,11,CFL,,,0.0,0.0,2.0
SYNTHETIC_CFL_2023_W12_EDM,,2023,12,CFL,,,0.0,0.0,1.0
SYNTHETIC_CFL_2023_W13_EDM,,2023,13,CFL,,,0.0,0.0,8.0
SYNTHETIC_CFL_2023_W14_EDM,,2023,14,CFL,,,0.0,0.0,3.0
SYNTHETIC_CFL_2023_W15_EDM,,2023,15,CFL,,,0.0,0.0,3.0
SYNTHETIC_CFL_2023_W16_EDM,,2023,16,CFL,,,1.0,0.0,2.0
SYNTHETIC_CFL_2023_W18_EDM,,2023,18,CFL,,,0.0,0.0,3.0
SYNTHETIC_CFL_2023_W19_EDM,,2023,19,CFL,,,0.0,0.0,3.0
SYNTHETIC_CFL_2023_W20_EDM,,2023,20,CFL,,,0.0,0.0,1.0
SYNTHETIC_CFL_2024_W1_EDM,,2024,1,CFL,,,1.0,0.0,2.0
