game_id,date,season,week,league,away,home,blocks,catches,completions,drops,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-05-TOR-NY,2023-05-05,2023,2,,TOR,NY,1.0,12.0,13.0,,,14.0,,39.0,97.0
2023-05-06-TOR-BOS,2023-05-06,2023,2,,TOR,BOS,,,,1.0,1.0,,1.0,,
2023-05-20-DC-TOR,2023-05-20,2023,4,,DC,TOR,,1.0,1.0,,,2.0,,12.0,17.0
2023-06-17-PIT-TOR,2023-06-17,2023,8,,PIT,TOR,,3.0,3.0,,1.0,3.0,,18.0,20.0
2023-07-15-TOR-DET,2023-07-15,2023,12,,TOR,DET,1.0,7.0,9.0,,3.0,11.0,2.0,31.0,5.0
2023-07-21-TOR-DC,2023-07-21,2023,13,,TOR,DC,,8.0,9.0,,,9.0,,32.0,60.0
