game_id,date,season,week,league,away,home,blocks,catches,completions,goals,hockeyAssists,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-20-NY-PHI,2023-05-20,2023,4,,NY,PHI,,3.0,2.0,,,1.0,3.0,1.0,23.0,1.0
2023-06-10-PHI-TOR,2023-06-10,2023,7,,PHI,TOR,,1.0,1.0,,1.0,1.0,1.0,,16.0,22.0
2023-07-02-PHI-MTL,2023-07-02,2023,10,,PHI,MTL,1.0,9.0,7.0,2.0,1.0,4.0,7.0,,52.0,-15.0
2023-07-15-DC-PHI,2023-07-15,2023,12,,DC,PHI,,3.0,3.0,,,4.0,3.0,,2.0,5.0
