game_id,date,season,week,league,away,home,conversions,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_CFL_W1_CGY,,,1,CFL,,,,0.0,12.0,1.0,,
SYNTHETIC_CFL_W6_CGY,,,6,CFL,,,,0.0,6.0,1.0,,
SYNTHETIC_CFL_W10_CGY,,,10,CFL,,,,1.0,64.0,5.0,,
SYNTHETIC_CFL_W11_CGY,,,11,CFL,,,,0.0,129.0,4.0,,
SYNTHETIC_CFL_W12_CGY,,,12,CFL,,,,0.0,15.0,2.0,,
SYNTHETIC_CFL_W19_CGY,,,19,CFL,,,,0.0,18.0,2.0,,
SYNTHETIC_CFL_W20_CGY,,,20,CFL,,,,0.0,22.0,2.0,,
SYNTHETIC_CFL_2023_W2_SSK,,2023,2,CFL,,,,,132.0,6.0,,
SYNTHETIC_CFL_2023_W3_SSK,,2023,3,CFL,,,,,77.0,3.0,,5.0
SYNTHETIC_CFL_2023_W5_SSK,,2023,5,CFL,,,,,41.0,3.0,,2.0
SYNTHETIC_CFL_2023_W6_SSK,,2023,6,CFL,,,,,23.0,3.0,,
SYNTHETIC_CFL_2023_W7_SSK,,2023,7,CFL,,,,,74.0,10.0,,
SYNTHETIC_CFL_2023_W8_SSK,,2023,8,CFL,,,,1.0,144.0,10.0,,
SYNTHETIC_CFL_2023_W9_SSK,,2023,9,CFL,,,,1.0,88.0,6.0,,
SYNTHETIC_CFL_2023_W10_SSK,,2023,10,CFL,,,,,19.0,4.0,,
SYNTHETIC_CFL_2023_W11_SSK,,2023,11,CFL,,,,,22.0,4.0,,-3.0
SYNTHETIC_CFL_2023_W13_SSK,,2023,13,CFL,,,1.0,,33.0,5.0,,
SYNTHETIC_CFL_2023_W15_SSK,,2023,15,CFL,,,,2.0,47.0,6.0,,
SYNTHETIC_CFL_2023_W16_SSK,,2023,16,CFL,,,,,18.0,3.0,,
SYNTHETIC_CFL_2023_W17_SSK,,2023,17,CFL,,,,,59.0,4.0,,
SYNTHETIC_CFL_2023_W18_SSK,,2023,18,CFL,,,,,42.0,4.0,,
SYNTHETIC_CFL_2023_W19_SSK,,2023,19,CFL,,,,,103.0,7.0,,
SYNTHETIC_CFL_2023_W20_SSK,,2023,20,CFL,,,,0.0,136.0,8.0,,
SYNTHETIC_CFL_2024_W1_SSK,,2024,1,CFL,,,,3.0,125.0,5.0,,
SYNTHETIC_CFL_2024_W2_SSK,,2024,2,CFL,,,,0.0,50.0,4.0,,
SYNTHETIC_CFL_2024_W3_SSK,,2024,3,CFL,,,,0.0,36.0,4.0,0.0,10.0
SYNTHETIC_CFL_2024_W6_SSK,,2024,6,CFL,,,,0.0,19.0,2.0,,
SYNTHETIC_CFL_2024_W7_SSK,,2024,7,CFL,,,,0.0,23.0,2.0,,
SYNTHETIC_CFL_2024_W8_SSK,,2024,8,CFL,,,,0.0,47.0,5.0,,
SYNTHETIC_CFL_2024_W9_SSK,,2024,9,CFL,,,,0.0,59.0,4.0,0.0,-2.0
SYNTHETIC_CFL_2024_W10_SSK,,2024,10,CFL,,,,1.0,90.0,8.0,,
SYNTHETIC_CFL_2024_W11_SSK,,2024,11,CFL,,,,0.0,35.0,5.0,0.0,11.0
SYNTHETIC_CFL_2024_W12_SSK,,2024,12,CFL,,,,0.0,8.0,1.0,,
SYNTHETIC_CFL_2024_W13_SSK,,2024,13,CFL,,,,1.0,25.0,3.0,,
SYNTHETIC_CFL_2024_W14_SSK,,2024,14,CFL,,,,0.0,28.0,3.0,,
SYNTHETIC_CFL_2024_W16_SSK,,2024,16,CFL,,,,0.0,12.0,1.0,,
SYNTHETIC_CFL_2024_W17_SSK,,2024,17,CFL,,,,0.0,24.0,2.0,,
SYNTHETIC_CFL_2024_W20_SSK,,2024,20,CFL,,,,0.0,20.0,3.0,,
SYNTHETIC_CFL_2024_W21_SSK,,2024,21,CFL,,,,0.0,8.0,1.0,,
