game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,hockeyAssists,hucksCompleted,pulls,throwAttempts,yardsReceived,yardsThrown
2023-06-03-DAL-HTX,2023-06-03,2023,6,,DAL,HTX,1.0,,12.0,14.0,,2.0,,2.0,14.0,66.0,58.0
2023-06-09-CAR-DAL,2023-06-09,2023,7,,CAR,DAL,1.0,,9.0,10.0,1.0,,,15.0,10.0,12.0,42.0
2023-06-17-DAL-ATL,2023-06-17,2023,8,,DAL,ATL,,,19.0,22.0,,1.0,,13.0,22.0,118.0,77.0
2023-06-24-ATL-DAL,2023-06-24,2023,9,,ATL,DAL,,1.0,3.0,2.0,,,,4.0,2.0,20.0,3.0
2023-07-01-DAL-ATX,2023-07-01,2023,10,,DAL,ATX,1.0,,11.0,20.0,1.0,1.0,,5.0,18.0,66.0,129.0
2023-07-15-HTX-DAL,2023-07-15,2023,12,,HTX,DAL,3.0,2.0,5.0,7.0,,,2.0,8.0,7.0,70.0,115.0
