game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,tackles
SYNTHETIC_CFL_2023_W2_HAM,,2023,2,CFL,,,,28.0,4.0,
SYNTHETIC_CFL_2023_W3_HAM,,2023,3,CFL,,,,57.0,6.0,
SYNTHETIC_CFL_2023_W6_HAM,,2023,6,CFL,,,,61.0,4.0,
SYNTHETIC_CFL_2023_W8_HAM,,2023,8,CFL,,,,71.0,5.0,
SYNTHETIC_CFL_2023_W9_HAM,,2023,9,CFL,,,,89.0,6.0,
SYNTHETIC_CFL_2023_W12_HAM,,2023,12,CFL,,,,29.0,2.0,
SYNTHETIC_CFL_2023_W13_HAM,,2023,13,CFL,,,2.0,50.0,6.0,
SYNTHETIC_CFL_2023_W14_HAM,,2023,14,CFL,,,,10.0,2.0,
SYNTHETIC_CFL_2023_W15_HAM,,2023,15,CFL,,,1.0,61.0,4.0,
SYNTHETIC_CFL_2023_W16_HAM,,2023,16,CFL,,,1.0,48.0,6.0,
SYNTHETIC_CFL_2023_W17_HAM,,2023,17,CFL,,,1.0,28.0,1.0,
SYNTHETIC_CFL_2023_W18_HAM,,2023,18,CFL,,,,71.0,2.0,
SYNTHETIC_CFL_2023_W19_HAM,,2023,19,CFL,,,1.0,64.0,6.0,1.0
SYNTHETIC_CFL_2023_W21_HAM,,2023,21,CFL,,,,56.0,3.0,
