game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,passing_tds,passing_yards,sacks,tackles
SYNTHETIC_CFL_W9_BC,,,9,CFL,,,0.0,,0.0,1.0,,
SYNTHETIC_CFL_W14_BC,,,14,CFL,,,0.0,,0.0,2.0,,
SYNTHETIC_CFL_2023_W15_BC,,2023,15,CFL,,,,0.0,,,0.0,0.0
SYNTHETIC_CFL_2023_W16_BC,,2023,16,CFL,,,,0.0,,,0.0,0.0
