game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,tackles
SYNTHETIC_CFL_W1_CGY,,,1,CFL,,,1.0,1.0,199.0,,,,0.0,12.0,
SYNTHETIC_CFL_W3_CGY,,,3,CFL,,,0.0,1.0,321.0,,,,0.0,3.0,
SYNTHETIC_CFL_W5_CGY,,,5,CFL,,,0.0,2.0,279.0,,,,,,
SYNTHETIC_CFL_W6_CGY,,,6,CFL,,,1.0,1.0,187.0,,,,,,
SYNTHETIC_CFL_W8_CGY,,,8,CFL,,,0.0,0.0,219.0,,,,0.0,11.0,
SYNTHETIC_CFL_W9_CGY,,,9,CFL,,,1.0,0.0,137.0,,,,,,
SYNTHETIC_CFL_W10_CGY,,,10,CFL,,,0.0,2.0,206.0,,,,,,
SYNTHETIC_CFL_W11_CGY,,,11,CFL,,,2.0,0.0,149.0,,,,,,
SYNTHETIC_CFL_2023_W1_HAM,,2023,1,CFL,,,2.0,1.0,197.0,,,,,,
SYNTHETIC_CFL_2023_W2_HAM,,2023,2,CFL,,,2.0,,161.0,,,,,8.0,
SYNTHETIC_CFL_2023_W8_HAM,,2023,8,CFL,,,5.0,2.0,353.0,,,,,5.0,
SYNTHETIC_CFL_2023_W18_HAM,,2023,18,CFL,,,,1.0,129.0,,,,,,
SYNTHETIC_CFL_2024_W1_HAM,,2024,1,CFL,,,0.0,1.0,304.0,,,,0.0,11.0,1.0
SYNTHETIC_CFL_2024_W2_HAM,,2024,2,CFL,,,1.0,1.0,336.0,,,,,,
SYNTHETIC_CFL_2024_W3_HAM,,2024,3,CFL,,,3.0,2.0,295.0,,,,0.0,17.0,
SYNTHETIC_CFL_2024_W4_HAM,,2024,4,CFL,,,0.0,2.0,247.0,,,,0.0,4.0,
SYNTHETIC_CFL_2024_W5_HAM,,2024,5,CFL,,,0.0,5.0,332.0,,,,0.0,8.0,
SYNTHETIC_CFL_2024_W6_HAM,,2024,6,CFL,,,0.0,2.0,266.0,,,,0.0,14.0,
SYNTHETIC_CFL_2024_W7_HAM,,2024,7,CFL,,,1.0,1.0,327.0,,,,,,
SYNTHETIC_CFL_2024_W8_HAM,,2024,8,CFL,,,1.0,3.0,389.0,,,,0.0,23.0,
SYNTHETIC_CFL_2024_W9_HAM,,2024,9,CFL,,,0.0,3.0,350.0,,,,0.0,5.0,
SYNTHETIC_CFL_2024_W10_HAM,,2024,10,CFL,,,0.0,3.0,305.0,,,,0.0,3.0,
SYNTHETIC_CFL_2024_W11_HAM,,2024,11,CFL,,,2.0,0.0,201.0,,,,0.0,26.0,
SYNTHETIC_CFL_2024_W12_HAM,,2024,12,CFL,,,0.0,0.0,220.0,,,,,,
SYNTHETIC_CFL_2024_W13_HAM,,2024,13,CFL,,,1.0,3.0,405.0,,,,0.0,25.0,
SYNTHETIC_CFL_2024_W14_HAM,,2024,14,CFL,,,1.0,0.0,191.0,,,,1.0,14.0,
SYNTHETIC_CFL_2024_W15_HAM,,2024,15,CFL,,,0.0,2.0,230.0,,,,0.0,8.0,
SYNTHETIC_CFL_2024_W16_HAM,,2024,16,CFL,,,0.0,1.0,362.0,,,,0.0,19.0,
SYNTHETIC_CFL_2024_W17_HAM,,2024,17,CFL,,,0.0,0.0,212.0,0.0,3.0,1.0,0.0,0.0,
SYNTHETIC_CFL_2024_W18_HAM,,2024,18,CFL,,,1.0,4.0,320.0,,,,0.0,13.0,
SYNTHETIC_CFL_2024_W19_HAM,,2024,19,CFL,,,2.0,2.0,306.0,,,,0.0,3.0,
SYNTHETIC_CFL_2024_W20_HAM,,2024,20,CFL,,,1.0,5.0,450.0,,,,,,
SYNTHETIC_CFL_2024_W21_HAM,,2024,21,CFL,,,0.0,2.0,264.0,,,,,,
SYNTHETIC_CFL_2025_W1_HAM,,2025,1,CFL,,,,1.0,304.0,,,,,11.0,
SYNTHETIC_CFL_2025_W4_HAM,,2025,4,CFL,,,,2.0,247.0,,,,,4.0,
SYNTHETIC_CFL_2025_W5_HAM,,2025,5,CFL,,,,5.0,332.0,,,,,,
SYNTHETIC_CFL_2025_W6_HAM,,2025,6,CFL,,,,2.0,266.0,,,,,14.0,
SYNTHETIC_CFL_2025_W7_HAM,,2025,7,CFL,,,1.0,1.0,327.0,,,,,,
SYNTHETIC_CFL_2025_W8_HAM,,2025,8,CFL,,,1.0,3.0,389.0,,,,,23.0,
SYNTHETIC_CFL_2025_W9_HAM,,2025,9,CFL,,,,3.0,350.0,,,,,5.0,
SYNTHETIC_CFL_2025_W10_HAM,,2025,10,CFL,,,,3.0,305.0,,,,,3.0,
SYNTHETIC_CFL_2025_W11_HAM,,2025,11,CFL,,,2.0,,201.0,,,,,26.0,
SYNTHETIC_CFL_2025_W13_HAM,,2025,13,CFL,,,1.0,3.0,405.0,,,,,,
SYNTHETIC_CFL_2025_W14_HAM,,2025,14,CFL,,,1.0,,191.0,,,,1.0,14.0,
SYNTHETIC_CFL_2025_W15_HAM,,2025,15,CFL,,,,2.0,230.0,,,,,8.0,
SYNTHETIC_CFL_2025_W16_HAM,,2025,16,CFL,,,1.0,2.0,311.0,,,,,,
SYNTHETIC_CFL_2025_W17_HAM,,2025,17,CFL,,,,,212.0,,,,,,
SYNTHETIC_CFL_2025_W18_HAM,,2025,18,CFL,,,1.0,4.0,320.0,,,,,13.0,
SYNTHETIC_CFL_2025_W19_HAM,,2025,19,CFL,,,2.0,2.0,306.0,,,,,3.0,
SYNTHETIC_CFL_2025_W21_HAM,,2025,21,CFL,,,,2.0,264.0,,,,,,
