game_id,date,season,week,league,away,home,extra_point,field_goal_yards,missed,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W3_MAULERS,,2023,3,USFL,,,,189.0,,,
SYNTHETIC_USFL_2023_W4_MAULERS,,2023,4,USFL,,,,115.0,,,
SYNTHETIC_USFL_2023_W5_MAULERS,,2023,5,USFL,,,2.0,22.0,,,
SYNTHETIC_USFL_2023_W6_MAULERS,,2023,6,USFL,,,,,2.0,,
SYNTHETIC_USFL_2023_W7_MAULERS,,2023,7,USFL,,,4.0,49.0,1.0,,
SYNTHETIC_USFL_2023_W8_MAULERS,,2023,8,USFL,,,1.0,162.0,1.0,,
SYNTHETIC_USFL_2023_W9_MAULERS,,2023,9,USFL,,,1.0,136.0,,,
SYNTHETIC_USFL_2023_W10_MAULERS,,2023,10,USFL,,,2.0,74.0,,0.0,0.0
SYNTHETIC_USFL_2023_W11_MAULERS,,2023,11,USFL,,,3.0,104.0,1.0,,
SYNTHETIC_USFL_2023_W12_MAULERS,,2023,12,USFL,,,,179.0,1.0,,
SYNTHETIC_UFL_2024_W1_STALLIONS,,2024,1,UFL,,,,27.0,1.0,,
SYNTHETIC_UFL_2024_W2_STALLIONS,,2024,2,UFL,,,,122.0,,,
SYNTHETIC_UFL_2024_W3_STALLIONS,,2024,3,UFL,,,,111.0,,,
SYNTHETIC_UFL_2024_W11_STALLIONS,,2024,11,UFL,,,,66.0,,,
SYNTHETIC_UFL_2024_W12_STALLIONS,,2024,12,UFL,,,,49.0,,,
SYNTHETIC_UFL_2025_W2_ROUGHNECKS,,2025,2,UFL,,,,41.0,,,
SYNTHETIC_UFL_2025_W3_ROUGHNECKS,,2025,3,UFL,,,,64.0,1.0,,
SYNTHETIC_UFL_2025_W4_ROUGHNECKS,,2025,4,UFL,,,,44.0,1.0,,
SYNTHETIC_UFL_2025_W5_ROUGHNECKS,,2025,5,UFL,,,,67.0,,,
SYNTHETIC_UFL_2025_W6_ROUGHNECKS,,2025,6,UFL,,,,84.0,,,
SYNTHETIC_UFL_2025_W8_ROUGHNECKS,,2025,8,UFL,,,,77.0,,,
SYNTHETIC_UFL_2025_W9_ROUGHNECKS,,2025,9,UFL,,,,28.0,,,
SYNTHETIC_UFL_2025_W10_ROUGHNECKS,,2025,10,UFL,,,,63.0,,0.0,1.0
