game_id,date,season,week,league,away,home,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W1_SHOWBOATS,,2023,1,USFL,,,,,0.0,25.0,5.0,1.0,63.0
SYNTHETIC_USFL_2023_W2_SHOWBOATS,,2023,2,USFL,,,,,0.0,10.0,2.0,0.0,37.0
SYNTHETIC_USFL_2023_W3_SHOWBOATS,,2023,3,USFL,,,1.0,1.0,,,,0.0,-2.0
