game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_CFL_2023_W3_MTL,,2023,3,CFL,,,,0.0,36.0,2.0,,,,
SYNTHETIC_CFL_2023_W4_MTL,,2023,4,CFL,,,,0.0,5.0,1.0,,,,
SYNTHETIC_CFL_2023_W13_MTL,,2023,13,CFL,,,,0.0,51.0,3.0,,,,
SYNTHETIC_CFL_2023_W14_MTL,,2023,14,CFL,,,0.0,1.0,52.0,4.0,,,0.0,1.0
SYNTHETIC_CFL_2023_W15_MTL,,2023,15,CFL,,,,0.0,37.0,4.0,,,,
SYNTHETIC_CFL_2023_W16_MTL,,2023,16,CFL,,,,0.0,18.0,3.0,,,,
SYNTHETIC_CFL_2023_W17_MTL,,2023,17,CFL,,,,0.0,60.0,3.0,,,,
SYNTHETIC_CFL_2023_W18_MTL,,2023,18,CFL,,,0.0,0.0,30.0,2.0,,,0.0,1.0
SYNTHETIC_CFL_2023_W19_MTL,,2023,19,CFL,,,,0.0,56.0,5.0,,,,
SYNTHETIC_CFL_2023_W21_MTL,,2023,21,CFL,,,,0.0,41.0,6.0,,,,
SYNTHETIC_CFL_2024_W1_MTL,,2024,1,CFL,,,,0.0,0.0,0.0,,,,
SYNTHETIC_CFL_2024_W2_MTL,,2024,2,CFL,,,,1.0,42.0,4.0,,,,
SYNTHETIC_CFL_2024_W3_MTL,,2024,3,CFL,,,,0.0,7.0,1.0,,,,
SYNTHETIC_CFL_2024_W4_MTL,,2024,4,CFL,,,,1.0,113.0,8.0,,,,
SYNTHETIC_CFL_2024_W5_MTL,,2024,5,CFL,,,,1.0,48.0,4.0,,,,
SYNTHETIC_CFL_2024_W6_MTL,,2024,6,CFL,,,,0.0,70.0,6.0,,,,
SYNTHETIC_CFL_2024_W8_MTL,,2024,8,CFL,,,,0.0,28.0,3.0,,,,
SYNTHETIC_CFL_2024_W9_MTL,,2024,9,CFL,,,,0.0,18.0,3.0,,,,
SYNTHETIC_CFL_2024_W10_MTL,,2024,10,CFL,,,,0.0,0.0,0.0,,,,
SYNTHETIC_CFL_2024_W11_MTL,,2024,11,CFL,,,,0.0,92.0,3.0,,,,
SYNTHETIC_CFL_2024_W12_MTL,,2024,12,CFL,,,,2.0,107.0,5.0,,,,
SYNTHETIC_CFL_2024_W14_MTL,,2024,14,CFL,,,,1.0,46.0,6.0,,,,
SYNTHETIC_CFL_2024_W15_MTL,,2024,15,CFL,,,,0.0,14.0,1.0,,,,
SYNTHETIC_CFL_2024_W16_MTL,,2024,16,CFL,,,,0.0,26.0,2.0,,,,
SYNTHETIC_CFL_2024_W17_MTL,,2024,17,CFL,,,,1.0,99.0,3.0,,,,
SYNTHETIC_CFL_2024_W19_MTL,,2024,19,CFL,,,,0.0,25.0,3.0,,,,
SYNTHETIC_CFL_2024_W20_MTL,,2024,20,CFL,,,,0.0,17.0,3.0,,,,
SYNTHETIC_CFL_2024_W21_MTL,,2024,21,CFL,,,,0.0,71.0,3.0,,,,
SYNTHETIC_CFL_2025_W1_MTL,,2025,1,CFL,,,,0.0,15.0,2.0,,,,
SYNTHETIC_CFL_2025_W3_MTL,,2025,3,CFL,,,,0.0,35.0,4.0,,,,
SYNTHETIC_CFL_2025_W4_MTL,,2025,4,CFL,,,,1.0,57.0,6.0,,,,
SYNTHETIC_CFL_2025_W5_MTL,,2025,5,CFL,,,,0.0,54.0,3.0,,,,
SYNTHETIC_CFL_2025_W7_MTL,,2025,7,CFL,,,,1.0,129.0,9.0,,,,
SYNTHETIC_CFL_2025_W8_MTL,,2025,8,CFL,,,,1.0,45.0,6.0,,,,
SYNTHETIC_CFL_2025_W9_MTL,,2025,9,CFL,,,,0.0,29.0,5.0,,,,
SYNTHETIC_CFL_2025_W10_MTL,,2025,10,CFL,,,,1.0,47.0,3.0,,,,
SYNTHETIC_CFL_2025_W11_MTL,,2025,11,CFL,,,,0.0,1.0,1.0,,,,
SYNTHETIC_CFL_2025_W12_MTL,,2025,12,CFL,,,,0.0,22.0,3.0,,,,
SYNTHETIC_CFL_2025_W14_MTL,,2025,14,CFL,,,,0.0,21.0,4.0,,,,
SYNTHETIC_CFL_2025_W17_MTL,,2025,17,CFL,,,,0.0,81.0,4.0,,,,
SYNTHETIC_CFL_2025_W19_MTL,,2025,19,CFL,,,,0.0,37.0,2.0,,,,
SYNTHETIC_CFL_2025_W20_MTL,,2025,20,CFL,,,,0.0,11.0,1.0,0.0,5.0,,
SYNTHETIC_CFL_2025_W21_MTL,,2025,21,CFL,,,,0.0,25.0,1.0,,,,
