game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-ATX-HTX,2023-04-29,2023,1,,ATX,HTX,4.0,1.0,14.0,13.0,,2.0,2.0,4.0,,16.0,3.0,63.0,194.0
2023-05-06-DAL-ATX,2023-05-06,2023,2,,DAL,ATX,5.0,,9.0,9.0,1.0,,,,,10.0,1.0,56.0,74.0
2023-05-12-ATX-ATL,2023-05-12,2023,3,,ATX,ATL,1.0,,4.0,4.0,,,,2.0,,5.0,,26.0,14.0
2023-05-13-ATX-CAR,2023-05-13,2023,3,,ATX,CAR,,,,,,,,,,,1.0,,
2023-05-20-SD-ATX,2023-05-20,2023,4,,SD,ATX,2.0,1.0,10.0,11.0,,,,,,13.0,2.0,16.0,124.0
2023-05-28-ATX-DAL,2023-05-28,2023,5,,ATX,DAL,5.0,,18.0,22.0,1.0,1.0,,,,22.0,,93.0,125.0
2023-06-02-HTX-ATX,2023-06-02,2023,6,,HTX,ATX,1.0,1.0,16.0,13.0,1.0,,,,1.0,16.0,3.0,113.0,92.0
2023-06-10-CAR-ATX,2023-06-10,2023,7,,CAR,ATX,1.0,,7.0,10.0,1.0,1.0,,,,12.0,2.0,11.0,96.0
2023-06-17-ATX-HTX,2023-06-17,2023,8,,ATX,HTX,1.0,1.0,12.0,14.0,2.0,,,,,15.0,1.0,19.0,117.0
2023-07-01-DAL-ATX,2023-07-01,2023,10,,DAL,ATX,2.0,2.0,5.0,9.0,,,,,,11.0,1.0,17.0,77.0
