game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-05-TOR-NY,2023-05-05,2023,2,,TOR,NY,,,21.0,19.0,1.0,2.0,,,20.0,1.0,333.0,12.0
2023-05-06-TOR-BOS,2023-05-06,2023,2,,TOR,BOS,2.0,1.0,,,,,,,,,,
2023-05-13-MTL-TOR,2023-05-13,2023,3,,MTL,TOR,3.0,2.0,22.0,17.0,4.0,1.0,1.0,,19.0,2.0,297.0,141.0
2023-05-20-DC-TOR,2023-05-20,2023,4,,DC,TOR,,2.0,17.0,15.0,1.0,,,,18.0,3.0,130.0,73.0
2023-05-27-TOR-MTL,2023-05-27,2023,5,,TOR,MTL,3.0,2.0,19.0,18.0,2.0,,1.0,,20.0,2.0,228.0,166.0
2023-06-10-PHI-TOR,2023-06-10,2023,7,,PHI,TOR,4.0,1.0,31.0,24.0,4.0,3.0,3.0,,27.0,3.0,386.0,276.0
2023-06-17-PIT-TOR,2023-06-17,2023,8,,PIT,TOR,1.0,2.0,27.0,23.0,3.0,3.0,1.0,,24.0,1.0,329.0,164.0
2023-06-25-MTL-TOR,2023-06-25,2023,9,,MTL,TOR,1.0,,11.0,9.0,2.0,1.0,,,9.0,,154.0,66.0
2023-07-01-BOS-TOR,2023-07-01,2023,10,,BOS,TOR,1.0,2.0,33.0,32.0,2.0,2.0,,,32.0,,422.0,101.0
2023-07-15-TOR-DET,2023-07-15,2023,12,,TOR,DET,,1.0,24.0,18.0,7.0,3.0,,2.0,19.0,,332.0,23.0
2023-07-21-TOR-DC,2023-07-21,2023,13,,TOR,DC,3.0,,23.0,19.0,2.0,1.0,1.0,,21.0,1.0,311.0,148.0
