game_id,date,season,week,league,away,home,catches,completions,goals,hockeyAssists,stalls,throwAttempts,yardsReceived,yardsThrown
2023-05-13-PIT-DET,2023-05-13,2023,3,,PIT,DET,7.0,6.0,,,1.0,6.0,54.0,34.0
2023-06-04-PIT-MAD,2023-06-04,2023,6,,PIT,MAD,2.0,,,,,1.0,14.0,
2023-06-30-DET-PIT,2023-06-30,2023,10,,DET,PIT,2.0,1.0,1.0,1.0,,1.0,79.0,15.0
2023-07-15-PIT-IND,2023-07-15,2023,12,,PIT,IND,2.0,2.0,,,,2.0,3.0,11.0
