game_id,date,season,week,league,away,home,1pt_conversion,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_UFL_2024_W1_BRAHMAS,,2024,1,UFL,,,,,0.0,40.0,5.0,0.0,9.0
SYNTHETIC_UFL_2024_W2_BRAHMAS,,2024,2,UFL,,,,,1.0,103.0,6.0,,
SYNTHETIC_UFL_2024_W3_BRAHMAS,,2024,3,UFL,,,,,0.0,13.0,4.0,,
SYNTHETIC_UFL_2024_W4_BRAHMAS,,2024,4,UFL,,,1.0,,1.0,16.0,3.0,,
SYNTHETIC_UFL_2024_W5_BRAHMAS,,2024,5,UFL,,,,,0.0,32.0,3.0,0.0,6.0
SYNTHETIC_UFL_2024_W6_BRAHMAS,,2024,6,UFL,,,,,0.0,4.0,2.0,,
SYNTHETIC_UFL_2024_W7_BRAHMAS,,2024,7,UFL,,,,1.0,0.0,20.0,2.0,0.0,2.0
SYNTHETIC_UFL_2024_W8_BRAHMAS,,2024,8,UFL,,,,,0.0,3.0,1.0,,
SYNTHETIC_UFL_2024_W9_BRAHMAS,,2024,9,UFL,,,,,0.0,26.0,4.0,,
SYNTHETIC_UFL_2024_W10_BRAHMAS,,2024,10,UFL,,,,,0.0,8.0,3.0,0.0,4.0
SYNTHETIC_UFL_2024_W11_BRAHMAS,,2024,11,UFL,,,,,1.0,56.0,5.0,0.0,7.0
SYNTHETIC_UFL_2024_W12_BRAHMAS,,2024,12,UFL,,,,,0.0,34.0,3.0,,
SYNTHETIC_UFL_2025_W1_BRAHMAS,,2025,1,UFL,,,,,0.0,0.0,0.0,,
SYNTHETIC_UFL_2025_W4_BRAHMAS,,2025,4,UFL,,,,,0.0,13.0,1.0,,
SYNTHETIC_UFL_2025_W5_BRAHMAS,,2025,5,UFL,,,,,0.0,-1.0,1.0,,
SYNTHETIC_UFL_2025_W6_BRAHMAS,,2025,6,UFL,,,,,0.0,40.0,4.0,0.0,-3.0
SYNTHETIC_UFL_2025_W7_BRAHMAS,,2025,7,UFL,,,,1.0,0.0,42.0,2.0,0.0,-4.0
SYNTHETIC_UFL_2025_W8_BRAHMAS,,2025,8,UFL,,,,,0.0,13.0,1.0,,
SYNTHETIC_UFL_2025_W9_BRAHMAS,,2025,9,UFL,,,,,0.0,20.0,3.0,,
SYNTHETIC_UFL_2025_W10_BRAHMAS,,2025,10,UFL,,,,,0.0,8.0,1.0,,
