game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-IND-ATL,2023-04-29,2023,1,,IND,ATL,2.0,1.0,43.0,48.0,,1.0,6.0,,,49.0,1.0,55.0,233.0
2023-05-05-CAR-ATL,2023-05-05,2023,2,,CAR,ATL,,,28.0,30.0,,3.0,2.0,,,31.0,1.0,46.0,242.0
2023-05-12-ATX-ATL,2023-05-12,2023,3,,ATX,ATL,2.0,,30.0,31.0,,1.0,3.0,1.0,,31.0,,76.0,254.0
2023-05-21-ATL-CAR,2023-05-21,2023,4,,ATL,CAR,1.0,,17.0,25.0,,2.0,,,,25.0,,105.0,165.0
2023-05-27-HTX-ATL,2023-05-27,2023,5,,HTX,ATL,1.0,,10.0,16.0,,,1.0,,,16.0,,26.0,89.0
2023-06-09-ATL-BOS,2023-06-09,2023,7,,ATL,BOS,,2.0,18.0,23.0,,1.0,2.0,1.0,,23.0,2.0,132.0,113.0
2023-06-10-ATL-NY,2023-06-10,2023,7,,ATL,NY,2.0,,,,1.0,,,,,,,,
2023-06-17-DAL-ATL,2023-06-17,2023,8,,DAL,ATL,,,29.0,28.0,,1.0,2.0,,1.0,30.0,2.0,120.0,174.0
2023-06-23-ATL-HTX,2023-06-23,2023,9,,ATL,HTX,1.0,,25.0,33.0,1.0,1.0,3.0,,,33.0,,57.0,176.0
2023-07-15-ATL-CAR,2023-07-15,2023,12,,ATL,CAR,,,26.0,24.0,,5.0,3.0,,,26.0,2.0,188.0,151.0
2023-07-22-CAR-ATL,2023-07-22,2023,13,,CAR,ATL,1.0,,28.0,34.0,,3.0,2.0,1.0,,35.0,1.0,73.0,317.0
