game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-IND-ATL,2023-04-29,2023,1,,IND,ATL,1.0,2.0,3.0,2.0,2.0,,8.0,2.0,,102.0,11.0
2023-05-05-CAR-ATL,2023-05-05,2023,2,,CAR,ATL,1.0,,6.0,4.0,2.0,,12.0,4.0,,108.0,42.0
2023-05-12-ATX-ATL,2023-05-12,2023,3,,ATX,ATL,1.0,1.0,8.0,4.0,4.0,,7.0,4.0,,319.0,30.0
2023-05-21-ATL-CAR,2023-05-21,2023,4,,ATL,CAR,,1.0,1.0,1.0,,,3.0,1.0,,7.0,4.0
2023-05-27-HTX-ATL,2023-05-27,2023,5,,HTX,ATL,1.0,1.0,4.0,2.0,2.0,,9.0,2.0,,56.0,22.0
2023-06-09-ATL-BOS,2023-06-09,2023,7,,ATL,BOS,3.0,,2.0,1.0,1.0,1.0,5.0,1.0,,37.0,2.0
2023-06-17-DAL-ATL,2023-06-17,2023,8,,DAL,ATL,2.0,2.0,8.0,7.0,2.0,2.0,10.0,7.0,,236.0,58.0
2023-06-23-ATL-HTX,2023-06-23,2023,9,,ATL,HTX,,1.0,7.0,3.0,2.0,,7.0,4.0,,154.0,28.0
2023-06-24-ATL-DAL,2023-06-24,2023,9,,ATL,DAL,2.0,,,,,1.0,,,1.0,,
2023-07-15-ATL-CAR,2023-07-15,2023,12,,ATL,CAR,,3.0,3.0,2.0,2.0,2.0,12.0,2.0,,32.0,17.0
2023-07-22-CAR-ATL,2023-07-22,2023,13,,CAR,ATL,1.0,1.0,4.0,4.0,,,10.0,5.0,1.0,106.0,19.0
