game_id,date,season,week,league,away,home,conversions,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_UFL_2024_W1_STALLIONS,,2024,1,UFL,,,1.0,0.0,13.0,1.0,0.0,8.0
SYNTHETIC_UFL_2024_W2_STALLIONS,,2024,2,UFL,,,,0.0,16.0,1.0,,
SYNTHETIC_UFL_2024_W3_STALLIONS,,2024,3,UFL,,,,0.0,0.0,0.0,,
SYNTHETIC_UFL_2024_W4_STALLIONS,,2024,4,UFL,,,,1.0,82.0,4.0,,
SYNTHETIC_UFL_2024_W5_STALLIONS,,2024,5,UFL,,,,0.0,17.0,1.0,,
SYNTHETIC_UFL_2024_W6_STALLIONS,,2024,6,UFL,,,,0.0,12.0,1.0,,
SYNTHETIC_UFL_2024_W8_STALLIONS,,2024,8,UFL,,,,1.0,16.0,2.0,,
SYNTHETIC_UFL_2024_W9_STALLIONS,,2024,9,UFL,,,,0.0,35.0,3.0,,
SYNTHETIC_UFL_2024_W10_STALLIONS,,2024,10,UFL,,,,0.0,4.0,1.0,,
SYNTHETIC_UFL_2024_W11_STALLIONS,,2024,11,UFL,,,,1.0,11.0,3.0,0.0,2.0
SYNTHETIC_UFL_2024_W12_STALLIONS,,2024,12,UFL,,,1.0,0.0,0.0,0.0,0.0,11.0
SYNTHETIC_UFL_2025_W1_STALLIONS,,2025,1,UFL,,,,0.0,6.0,1.0,,
SYNTHETIC_UFL_2025_W3_STALLIONS,,2025,3,UFL,,,,0.0,42.0,3.0,,
SYNTHETIC_UFL_2025_W5_STALLIONS,,2025,5,UFL,,,,0.0,0.0,0.0,,
SYNTHETIC_UFL_2025_W6_STALLIONS,,2025,6,UFL,,,,1.0,55.0,3.0,,
SYNTHETIC_UFL_2025_W7_STALLIONS,,2025,7,UFL,,,,0.0,4.0,1.0,,
SYNTHETIC_UFL_2025_W9_STALLIONS,,2025,9,UFL,,,,0.0,32.0,2.0,,
SYNTHETIC_UFL_2025_W10_STALLIONS,,2025,10,UFL,,,,1.0,36.0,4.0,0.0,6.0
