game_id,date,season,week,league,away,home,interceptions_lost,lost_fumbles,passing_tds,passing_yards
SYNTHETIC_USFL_W3_TB,,,3,USFL,,,,0.0,,
SYNTHETIC_USFL_W6_TB,,,6,USFL,,,0.0,,0.0,13.0
