game_id,date,season,week,league,away,home,conversions,receiving_tds,receiving_yards,receptions,rushing_tds
SYNTHETIC_USFL_W4_BHAM,,,4,USFL,,,,0.0,12.0,1.0,
SYNTHETIC_USFL_W6_BHAM,,,6,USFL,,,,0.0,0.0,0.0,
SYNTHETIC_USFL_W7_BHAM,,,7,USFL,,,,0.0,46.0,2.0,0.0
SYNTHETIC_USFL_W8_BHAM,,,8,USFL,,,,0.0,-1.0,1.0,
SYNTHETIC_USFL_W9_BHAM,,,9,USFL,,,,0.0,31.0,4.0,
SYNTHETIC_USFL_W10_BHAM,,,10,USFL,,,,0.0,60.0,3.0,
SYNTHETIC_USFL_2023_W1_BREAKERS,,2023,1,USFL,,,,0.0,85.0,5.0,
SYNTHETIC_USFL_2023_W2_BREAKERS,,2023,2,USFL,,,,1.0,121.0,11.0,
SYNTHETIC_USFL_2023_W3_BREAKERS,,2023,3,USFL,,,,0.0,51.0,4.0,
SYNTHETIC_USFL_2023_W4_BREAKERS,,2023,4,USFL,,,,0.0,94.0,6.0,
SYNTHETIC_USFL_2023_W5_BREAKERS,,2023,5,USFL,,,,0.0,36.0,6.0,
SYNTHETIC_USFL_2023_W6_BREAKERS,,2023,6,USFL,,,,0.0,24.0,4.0,
SYNTHETIC_USFL_2023_W7_BREAKERS,,2023,7,USFL,,,1.0,0.0,64.0,5.0,
SYNTHETIC_USFL_2023_W8_BREAKERS,,2023,8,USFL,,,,0.0,34.0,3.0,
SYNTHETIC_USFL_2023_W9_BREAKERS,,2023,9,USFL,,,,0.0,5.0,1.0,
SYNTHETIC_USFL_2023_W10_BREAKERS,,2023,10,USFL,,,,0.0,38.0,5.0,
SYNTHETIC_USFL_2023_W11_BREAKERS,,2023,11,USFL,,,,1.0,50.0,7.0,
SYNTHETIC_UFL_2024_W1_SHOWBOATS,,2024,1,UFL,,,,0.0,38.0,2.0,
SYNTHETIC_UFL_2024_W2_SHOWBOATS,,2024,2,UFL,,,,0.0,32.0,4.0,
SYNTHETIC_UFL_2024_W3_SHOWBOATS,,2024,3,UFL,,,,0.0,40.0,4.0,
SYNTHETIC_UFL_2024_W4_SHOWBOATS,,2024,4,UFL,,,1.0,0.0,24.0,4.0,
SYNTHETIC_UFL_2024_W5_SHOWBOATS,,2024,5,UFL,,,,1.0,31.0,2.0,
SYNTHETIC_UFL_2024_W6_SHOWBOATS,,2024,6,UFL,,,,1.0,10.0,1.0,
SYNTHETIC_UFL_2024_W7_SHOWBOATS,,2024,7,UFL,,,,0.0,5.0,1.0,
SYNTHETIC_UFL_2024_W8_SHOWBOATS,,2024,8,UFL,,,,0.0,55.0,5.0,
SYNTHETIC_UFL_2024_W9_SHOWBOATS,,2024,9,UFL,,,,0.0,4.0,1.0,
SYNTHETIC_UFL_2024_W10_SHOWBOATS,,2024,10,UFL,,,,0.0,30.0,3.0,
