game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_26_SA@ORL,2023-02-26,2023,2,XFL,SA,ORL,,,,,47.0,3.0,,
FOOTBALL_XFL_2023_3_19_ARL@SA,2023-03-19,2023,5,XFL,ARL,SA,,,,,26.0,1.0,,
FOOTBALL_XFL_2023_3_26_SA@ARL,2023-03-26,2023,6,XFL,SA,ARL,,,,,43.0,2.0,,
FOOTBALL_XFL_2023_3_31_SEA@ARL,2023-03-31,2023,7,XFL,SEA,ARL,,,,,,1.0,,
FOOTBALL_XFL_2023_4_8_ARL@ORL,2023-04-08,2023,8,XFL,ARL,ORL,,,,,25.0,2.0,,
FOOTBALL_XFL_2023_4_16_ARL@DC,2023-04-16,2023,9,XFL,ARL,DC,,,,,23.0,2.0,,
SYNTHETIC_XFL_2023_W9_RENEGADES,,2023,9,XFL,,,0.0,0.0,,,,,,
SYNTHETIC_UFL_2024_W1_RENEGADES,,2024,1,UFL,,,,,,0.0,16.0,1.0,,
SYNTHETIC_UFL_2024_W2_RENEGADES,,2024,2,UFL,,,,,,0.0,83.0,5.0,0.0,16.0
SYNTHETIC_UFL_2024_W3_RENEGADES,,2024,3,UFL,,,,,,1.0,29.0,2.0,,
SYNTHETIC_UFL_2024_W4_RENEGADES,,2024,4,UFL,,,,,,,,,0.0,5.0
SYNTHETIC_UFL_2024_W5_RENEGADES,,2024,5,UFL,,,,,,1.0,119.0,7.0,,
SYNTHETIC_UFL_2024_W6_RENEGADES,,2024,6,UFL,,,,,,0.0,38.0,2.0,1.0,14.0
SYNTHETIC_UFL_2024_W7_RENEGADES,,2024,7,UFL,,,,,,2.0,82.0,4.0,,
SYNTHETIC_UFL_2024_W8_RENEGADES,,2024,8,UFL,,,,,,1.0,12.0,2.0,0.0,-1.0
SYNTHETIC_UFL_2024_W9_RENEGADES,,2024,9,UFL,,,,,,0.0,0.0,0.0,,
SYNTHETIC_UFL_2025_W1_RENEGADES,,2025,1,UFL,,,,,,0.0,19.0,2.0,0.0,12.0
SYNTHETIC_UFL_2025_W2_RENEGADES,,2025,2,UFL,,,,,,0.0,24.0,2.0,,
SYNTHETIC_UFL_2025_W3_RENEGADES,,2025,3,UFL,,,,,,0.0,22.0,3.0,,
SYNTHETIC_UFL_2025_W4_RENEGADES,,2025,4,UFL,,,,1.0,,1.0,2.0,1.0,0.0,24.0
SYNTHETIC_UFL_2025_W5_RENEGADES,,2025,5,UFL,,,,2.0,,0.0,26.0,1.0,,
SYNTHETIC_UFL_2025_W6_RENEGADES,,2025,6,UFL,,,,,1.0,0.0,40.0,3.0,,
SYNTHETIC_UFL_2025_W7_RENEGADES,,2025,7,UFL,,,,,,0.0,3.0,1.0,,
SYNTHETIC_UFL_2025_W8_RENEGADES,,2025,8,UFL,,,,,,0.0,47.0,4.0,,
SYNTHETIC_UFL_2025_W9_RENEGADES,,2025,9,UFL,,,,,,0.0,9.0,1.0,1.0,15.0
SYNTHETIC_UFL_2025_W10_RENEGADES,,2025,10,UFL,,,,,,0.0,38.0,4.0,0.0,2.0
SYNTHETIC_UFL_2026_W2_LOUISVILLEKINGS,,2026,2,UFL,,,,,,0.0,22.0,2.0,,
SYNTHETIC_UFL_2026_W4_LOUISVILLEKINGS,,2026,4,UFL,,,,,,0.0,46.0,3.0,,
SYNTHETIC_UFL_2026_W6_LOUISVILLEKINGS,,2026,6,UFL,,,,,,0.0,12.0,2.0,,
