game_id,date,season,week,league,away,home,2_pointer,3_pointer,4_pointer,assist,blockedShot,lost_fumbles,rebound,receiving_yards,receptions,steal
2660096,,,1,,,,5.0,0.0,0.0,0.0,0.0,,2.0,,,1.0
SYNTHETIC_XFL_2023_W6_GUARDIANS,,2023,6,XFL,,,,,,,,,,46.0,5.0,
FOOTBALL_XFL_2023_4_1_DC@ORL,2023-04-01,2023,7,XFL,DC,ORL,,,,,,1.0,,47.0,4.0,
FOOTBALL_XFL_2023_4_8_ARL@ORL,2023-04-08,2023,8,XFL,ARL,ORL,,,,,,,,27.0,2.0,
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,,,,,,,,32.0,4.0,
