game_id,date,season,week,league,away,home,conversions,receiving_tds,receiving_yards,receptions
SYNTHETIC_USFL_W4_NO,,,4,USFL,,,,0.0,5.0,1.0
SYNTHETIC_USFL_W6_NO,,,6,USFL,,,,0.0,0.0,0.0
SYNTHETIC_USFL_W8_NO,,,8,USFL,,,,0.0,0.0,0.0
SYNTHETIC_USFL_W10_NO,,,10,USFL,,,,0.0,0.0,0.0
SYNTHETIC_USFL_W11_NO,,,11,USFL,,,,0.0,0.0,0.0
SYNTHETIC_USFL_2023_W1_BREAKERS,,2023,1,USFL,,,,0.0,51.0,3.0
SYNTHETIC_USFL_2023_W2_BREAKERS,,2023,2,USFL,,,,0.0,34.0,1.0
SYNTHETIC_USFL_2023_W3_BREAKERS,,2023,3,USFL,,,,2.0,74.0,2.0
SYNTHETIC_USFL_2023_W4_BREAKERS,,2023,4,USFL,,,,0.0,36.0,4.0
SYNTHETIC_USFL_2023_W5_BREAKERS,,2023,5,USFL,,,,0.0,38.0,3.0
SYNTHETIC_USFL_2023_W6_BREAKERS,,2023,6,USFL,,,,0.0,13.0,2.0
SYNTHETIC_USFL_2023_W7_BREAKERS,,2023,7,USFL,,,,1.0,16.0,3.0
SYNTHETIC_USFL_2023_W9_BREAKERS,,2023,9,USFL,,,,0.0,44.0,3.0
SYNTHETIC_USFL_2023_W10_BREAKERS,,2023,10,USFL,,,,0.0,33.0,3.0
SYNTHETIC_USFL_2023_W11_BREAKERS,,2023,11,USFL,,,,,27.0,1.0
SYNTHETIC_UFL_2024_W1_SHOWBOATS,,2024,1,UFL,,,,0.0,0.0,0.0
SYNTHETIC_UFL_2024_W2_SHOWBOATS,,2024,2,UFL,,,,0.0,0.0,0.0
SYNTHETIC_UFL_2024_W3_SHOWBOATS,,2024,3,UFL,,,,0.0,9.0,1.0
SYNTHETIC_UFL_2024_W4_SHOWBOATS,,2024,4,UFL,,,,0.0,0.0,0.0
SYNTHETIC_UFL_2024_W6_SHOWBOATS,,2024,6,UFL,,,,0.0,1.0,2.0
SYNTHETIC_UFL_2024_W7_SHOWBOATS,,2024,7,UFL,,,1.0,,,
SYNTHETIC_UFL_2024_W9_SHOWBOATS,,2024,9,UFL,,,,0.0,0.0,0.0
