game_id,date,season,week,league,away,home,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_UFL_2025_W1_BATTLEHAWKS,,2025,1,UFL,,,,0.0,32.0,2.0,,
SYNTHETIC_UFL_2025_W3_BATTLEHAWKS,,2025,3,UFL,,,,1.0,35.0,1.0,0.0,-8.0
SYNTHETIC_UFL_2025_W4_BATTLEHAWKS,,2025,4,UFL,,,,0.0,26.0,2.0,,
SYNTHETIC_UFL_2025_W5_BATTLEHAWKS,,2025,5,UFL,,,,,,,0.0,0.0
SYNTHETIC_UFL_2025_W6_BATTLEHAWKS,,2025,6,UFL,,,,0.0,16.0,1.0,,
SYNTHETIC_UFL_2025_W7_BATTLEHAWKS,,2025,7,UFL,,,,0.0,37.0,2.0,,
SYNTHETIC_UFL_2025_W8_BATTLEHAWKS,,2025,8,UFL,,,,0.0,13.0,1.0,,
SYNTHETIC_UFL_2025_W9_BATTLEHAWKS,,2025,9,UFL,,,1.0,1.0,23.0,2.0,,
SYNTHETIC_UFL_2025_W10_BATTLEHAWKS,,2025,10,UFL,,,,0.0,0.0,0.0,,
SYNTHETIC_UFL_2026_W1_ST.LOUISBATTLEHAWKS,,2026,1,UFL,,,,0.0,15.0,1.0,,
