game_id,date,season,week,league,away,home,extra_point,field_goal_yards,missed,rushing_tds,rushing_yards
SYNTHETIC_CFL_W1_WPG,,,1,CFL,,,,45.0,0.0,,
SYNTHETIC_CFL_W3_WPG,,,3,CFL,,,,116.0,0.0,,
SYNTHETIC_CFL_W4_WPG,,,4,CFL,,,,67.0,0.0,,
SYNTHETIC_CFL_W5_WPG,,,5,CFL,,,,114.0,2.0,,
SYNTHETIC_CFL_W6_WPG,,,6,CFL,,,,65.0,0.0,0.0,-4.0
SYNTHETIC_CFL_W7_WPG,,,7,CFL,,,,20.0,0.0,,
SYNTHETIC_CFL_W8_WPG,,,8,CFL,,,,52.0,0.0,,
SYNTHETIC_CFL_W10_WPG,,,10,CFL,,,,45.0,2.0,,
SYNTHETIC_CFL_W12_WPG,,,12,CFL,,,,32.0,0.0,,
SYNTHETIC_CFL_W13_WPG,,,13,CFL,,,,96.0,0.0,,
SYNTHETIC_CFL_W15_WPG,,,15,CFL,,,,96.0,0.0,,
SYNTHETIC_CFL_W17_WPG,,,17,CFL,,,,22.0,0.0,,
SYNTHETIC_CFL_W19_WPG,,,19,CFL,,,,38.0,3.0,,
SYNTHETIC_CFL_2023_W3_HAM,,2023,3,CFL,,,,127.0,,,
SYNTHETIC_CFL_2023_W5_HAM,,2023,5,CFL,,,,143.0,,,
SYNTHETIC_CFL_2023_W6_HAM,,2023,6,CFL,,,4.0,65.0,,,
SYNTHETIC_CFL_2023_W7_HAM,,2023,7,CFL,,,,76.0,,,
SYNTHETIC_CFL_2023_W8_HAM,,2023,8,CFL,,,1.0,25.0,,,
SYNTHETIC_CFL_2023_W9_HAM,,2023,9,CFL,,,1.0,57.0,1.0,,
SYNTHETIC_CFL_2023_W11_HAM,,2023,11,CFL,,,,20.0,3.0,,
SYNTHETIC_CFL_2023_W12_HAM,,2023,12,CFL,,,4.0,95.0,,,
SYNTHETIC_CFL_2023_W13_HAM,,2023,13,CFL,,,1.0,74.0,1.0,,
SYNTHETIC_CFL_2023_W14_HAM,,2023,14,CFL,,,3.0,52.0,,,
SYNTHETIC_CFL_2023_W15_HAM,,2023,15,CFL,,,3.0,67.0,,,
SYNTHETIC_CFL_2023_W16_HAM,,2023,16,CFL,,,1.0,63.0,1.0,,
SYNTHETIC_CFL_2023_W17_HAM,,2023,17,CFL,,,1.0,93.0,,,
SYNTHETIC_CFL_2023_W18_HAM,,2023,18,CFL,,,5.0,74.0,,,
SYNTHETIC_CFL_2023_W19_HAM,,2023,19,CFL,,,3.0,105.0,,,
SYNTHETIC_CFL_2023_W21_HAM,,2023,21,CFL,,,2.0,60.0,,,
SYNTHETIC_CFL_2024_W1_HAM,,2024,1,CFL,,,1.0,87.0,,,
SYNTHETIC_CFL_2024_W2_HAM,,2024,2,CFL,,,2.0,94.0,,,
SYNTHETIC_CFL_2024_W3_HAM,,2024,3,CFL,,,2.0,,,,
SYNTHETIC_CFL_2024_W4_HAM,,2024,4,CFL,,,1.0,102.0,,,
SYNTHETIC_CFL_2024_W5_HAM,,2024,5,CFL,,,3.0,50.0,,,
SYNTHETIC_CFL_2024_W7_HAM,,2024,7,CFL,,,3.0,49.0,,,
SYNTHETIC_CFL_2024_W8_HAM,,2024,8,CFL,,,4.0,127.0,,,
SYNTHETIC_CFL_2024_W9_HAM,,2024,9,CFL,,,1.0,,,,
SYNTHETIC_CFL_2024_W10_HAM,,2024,10,CFL,,,2.0,74.0,,,
SYNTHETIC_CFL_2024_W11_HAM,,2024,11,CFL,,,1.0,32.0,,,
SYNTHETIC_CFL_2024_W12_HAM,,2024,12,CFL,,,2.0,122.0,,,
SYNTHETIC_CFL_2024_W13_HAM,,2024,13,CFL,,,3.0,112.0,,,
SYNTHETIC_CFL_2024_W15_HAM,,2024,15,CFL,,,3.0,66.0,,,
SYNTHETIC_CFL_2024_W16_HAM,,2024,16,CFL,,,2.0,166.0,,,
SYNTHETIC_CFL_2024_W17_HAM,,2024,17,CFL,,,1.0,48.0,,,
SYNTHETIC_CFL_2024_W18_HAM,,2024,18,CFL,,,1.0,15.0,,,
SYNTHETIC_CFL_2024_W20_HAM,,2024,20,CFL,,,3.0,82.0,,,
SYNTHETIC_CFL_2024_W21_HAM,,2024,21,CFL,,,1.0,123.0,,,
SYNTHETIC_CFL_2025_W1_HAM,,2025,1,CFL,,,,72.0,,,
SYNTHETIC_CFL_2025_W2_HAM,,2025,2,CFL,,,2.0,110.0,,,
SYNTHETIC_CFL_2025_W4_HAM,,2025,4,CFL,,,4.0,79.0,,,
SYNTHETIC_CFL_2025_W5_HAM,,2025,5,CFL,,,7.0,44.0,,,
SYNTHETIC_CFL_2025_W6_HAM,,2025,6,CFL,,,1.0,95.0,,,
SYNTHETIC_CFL_2025_W7_HAM,,2025,7,CFL,,,3.0,89.0,,,
SYNTHETIC_CFL_2025_W8_HAM,,2025,8,CFL,,,4.0,76.0,,,
SYNTHETIC_CFL_2025_W9_HAM,,2025,9,CFL,,,4.0,,,,
SYNTHETIC_CFL_2025_W10_HAM,,2025,10,CFL,,,3.0,115.0,,,
SYNTHETIC_CFL_2025_W11_HAM,,2025,11,CFL,,,,71.0,,,
SYNTHETIC_CFL_2025_W13_HAM,,2025,13,CFL,,,3.0,49.0,,,
SYNTHETIC_CFL_2025_W14_HAM,,2025,14,CFL,,,2.0,136.0,,,
SYNTHETIC_CFL_2025_W15_HAM,,2025,15,CFL,,,2.0,114.0,,,
SYNTHETIC_CFL_2025_W17_HAM,,2025,17,CFL,,,,55.0,,,
SYNTHETIC_CFL_2025_W18_HAM,,2025,18,CFL,,,5.0,95.0,,,
