game_id,date,season,week,league,away,home,assists,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-IND-ATL,2023-04-29,2023,1,,IND,ATL,1.0,18.0,13.0,5.0,2.0,,13.0,,274.0,48.0
2023-05-05-CAR-ATL,2023-05-05,2023,2,,CAR,ATL,2.0,16.0,12.0,4.0,,,12.0,,217.0,79.0
2023-05-12-ATX-ATL,2023-05-12,2023,3,,ATX,ATL,1.0,10.0,8.0,2.0,,1.0,8.0,,163.0,21.0
2023-05-21-ATL-CAR,2023-05-21,2023,4,,ATL,CAR,1.0,10.0,9.0,1.0,,,9.0,,78.0,-4.0
2023-05-27-HTX-ATL,2023-05-27,2023,5,,HTX,ATL,,17.0,10.0,5.0,1.0,,11.0,1.0,253.0,108.0
2023-06-09-ATL-BOS,2023-06-09,2023,7,,ATL,BOS,,23.0,18.0,3.0,2.0,,20.0,,276.0,84.0
2023-06-17-DAL-ATL,2023-06-17,2023,8,,DAL,ATL,1.0,16.0,11.0,5.0,1.0,,11.0,,209.0,52.0
2023-06-23-ATL-HTX,2023-06-23,2023,9,,ATL,HTX,1.0,20.0,17.0,4.0,,,17.0,,258.0,61.0
2023-06-24-ATL-DAL,2023-06-24,2023,9,,ATL,DAL,,,,,1.0,,,,,
2023-07-15-ATL-CAR,2023-07-15,2023,12,,ATL,CAR,,18.0,12.0,5.0,2.0,,13.0,,208.0,50.0
