game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_CFL_2023_W1_WPG,,2023,1,CFL,,,0.0,,0.0,10.0,,,,0.0,1.0,,
SYNTHETIC_CFL_2023_W6_WPG,,2023,6,CFL,,,,,,,,,,0.0,2.0,,
SYNTHETIC_CFL_2023_W7_WPG,,2023,7,CFL,,,,,,,0.0,2.0,1.0,0.0,29.0,,
SYNTHETIC_CFL_2023_W8_WPG,,2023,8,CFL,,,0.0,,0.0,0.0,,,,0.0,8.0,,
SYNTHETIC_CFL_2023_W9_WPG,,2023,9,CFL,,,0.0,,0.0,0.0,,,,0.0,7.0,,
SYNTHETIC_CFL_2023_W10_WPG,,2023,10,CFL,,,,,,,,,,0.0,2.0,,
SYNTHETIC_CFL_2023_W11_WPG,,2023,11,CFL,,,0.0,0.0,0.0,0.0,,,,2.0,30.0,0.0,1.0
SYNTHETIC_CFL_2023_W12_WPG,,2023,12,CFL,,,,,,,,,,1.0,9.0,,
SYNTHETIC_CFL_2023_W14_WPG,,2023,14,CFL,,,0.0,,0.0,0.0,,,,1.0,4.0,,
SYNTHETIC_CFL_2023_W16_WPG,,2023,16,CFL,,,,,,,,,,1.0,4.0,,
SYNTHETIC_CFL_2023_W17_WPG,,2023,17,CFL,,,,,,,,,,1.0,1.0,,
SYNTHETIC_CFL_2023_W19_WPG,,2023,19,CFL,,,0.0,0.0,0.0,46.0,,,,0.0,12.0,0.0,1.0
