game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_yards
SWKANSAS-NASHVILLE,,,0,,,,2.0,76.0,5.0,
SALINA-CORPUS,,,1,,,,1.0,60.0,6.0,
STORM-FIREBIRDS,,,2,,,,0.0,18.0,3.0,
STORM-LIGHTNING-0330,0330,,3,,STORM,LIGHTNING,0.0,20.0,1.0,
SWKANSAS-OREGON-0412,0412,,3,,SWKANSAS,OREGON,0.0,16.0,3.0,
SWKANSAS-NASHVILLE-0425,0425,,7,,SWKANSAS,NASHVILLE,1.0,25.0,3.0,
SWKANSAS-NASHVILLE-0426,0426,,7,,SWKANSAS,NASHVILLE,1.0,34.0,4.0,
SWKANSAS-BILLINGS-0503,0503,,8,,SWKANSAS,BILLINGS,1.0,74.0,4.0,
WASHINGTON-SWKANSAS-05-25,,,11,,,,1.0,31.0,2.0,
SALINA-KANSAS-0607,0607,,13,,SALINA,KANSAS,0.0,12.0,1.0,
SYNTHETIC_AF1_2025_W5_SWKANSAS,,2025,5,AF1,,,,16.0,3.0,
SYNTHETIC_AF1_2025_W6_SWKANSAS,,2025,6,AF1,,,2.0,120.0,9.0,8.0
