game_id,date,season,week,league,away,home,fumble_recoveries,interceptions_made,sacks,tackles
FOOTBALL_XFL_2023_2_19_STL@SA,2023-02-19,2023,1,XFL,STL,SA,,,,5.5
SYNTHETIC_CFL_2023_W1_CGY,,2023,1,CFL,,,,,,2.0
FOOTBALL_XFL_2023_2_23_STL@SEA,2023-02-23,2023,2,XFL,STL,SEA,,,,5.0
SYNTHETIC_CFL_2023_W2_CGY,,2023,2,CFL,,,,,,1.0
FOOTBALL_XFL_2023_3_5_STL@DC,2023-03-05,2023,3,XFL,STL,DC,,,,3.0
FOOTBALL_XFL_2023_3_12_ARL@STL,2023-03-12,2023,4,XFL,ARL,STL,,,,5.0
FOOTBALL_XFL_2023_3_18_DC@STL,2023-03-18,2023,5,XFL,DC,STL,,,,8.0
FOOTBALL_XFL_2023_3_25_STL@VGS,2023-03-25,2023,6,XFL,STL,VGS,,,,3.0
FOOTBALL_XFL_2023_4_2_STL@HOU,2023-04-02,2023,7,XFL,STL,HOU,1.0,,,2.0
FOOTBALL_XFL_2023_4_8_VGS@STL,2023-04-08,2023,8,XFL,VGS,STL,,,,2.0
SYNTHETIC_CFL_2023_W10_CGY,,2023,10,CFL,,,,0.0,1.0,2.0
SYNTHETIC_CFL_2023_W12_CGY,,2023,12,CFL,,,,0.0,0.0,2.0
SYNTHETIC_CFL_2023_W14_CGY,,2023,14,CFL,,,,0.0,1.0,1.0
SYNTHETIC_CFL_2023_W17_CGY,,2023,17,CFL,,,,0.0,2.0,2.0
SYNTHETIC_CFL_2023_W19_CGY,,2023,19,CFL,,,,0.0,1.0,2.0
SYNTHETIC_CFL_2023_W20_CGY,,2023,20,CFL,,,,0.0,0.0,1.0
SYNTHETIC_CFL_2023_W21_CGY,,2023,21,CFL,,,,0.0,0.0,1.0
SYNTHETIC_CFL_2024_W1_CGY,,2024,1,CFL,,,,0.0,0.0,1.0
