game_id,date,season,week,league,away,home,extra_point,made_19,made_29,made_39,made_49,made_50,missed
SYNTHETIC_USFL_W1_NO,,,1,USFL,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
SYNTHETIC_USFL_W2_NO,,,2,USFL,,,2.0,0.0,1.0,1.0,0.0,0.0,0.0
SYNTHETIC_USFL_W3_NO,,,3,USFL,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
SYNTHETIC_USFL_W4_NO,,,4,USFL,,,2.0,0.0,1.0,0.0,1.0,1.0,0.0
SYNTHETIC_USFL_W5_NO,,,5,USFL,,,2.0,0.0,0.0,0.0,1.0,0.0,0.0
SYNTHETIC_USFL_W6_NO,,,6,USFL,,,2.0,0.0,1.0,1.0,0.0,0.0,0.0
SYNTHETIC_USFL_W7_NO,,,7,USFL,,,3.0,0.0,1.0,1.0,0.0,0.0,0.0
SYNTHETIC_USFL_W8_NO,,,8,USFL,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0
SYNTHETIC_USFL_W9_NO,,,9,USFL,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SYNTHETIC_USFL_W10_NO,,,10,USFL,,,,0.0,0.0,0.0,0.0,1.0,0.0
SYNTHETIC_USFL_W11_NO,,,11,USFL,,,2.0,0.0,1.0,0.0,0.0,0.0,0.0
