game_id,date,season,week,league,away,home,interceptions,passing_tds,passing_yards,rushing_tds,rushing_yards
TRITONS-LIBERTY-0328,0328,,3,,TRITONS,LIBERTY,,,,0.0,4.0
BILLINGS-SALINA-0425,0425,,7,,BILLINGS,SALINA,0.0,0.0,48.0,0.0,5.0
