game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-DC-CAR,2023-04-29,2023,1,,DC,CAR,2.0,2.0,33.0,30.0,3.0,6.0,30.0,,301.0,49.0
2023-05-07-PHI-DC,2023-05-07,2023,2,,PHI,DC,2.0,,23.0,20.0,2.0,3.0,21.0,1.0,255.0,7.0
2023-05-13-NY-DC,2023-05-13,2023,3,,NY,DC,4.0,,30.0,27.0,2.0,4.0,28.0,1.0,311.0,68.0
2023-06-02-CAR-DC,2023-06-02,2023,6,,CAR,DC,2.0,,27.0,25.0,1.0,2.0,26.0,1.0,295.0,149.0
2023-06-16-MTL-DC,2023-06-16,2023,8,,MTL,DC,,,14.0,9.0,3.0,2.0,11.0,2.0,159.0,13.0
2023-06-23-DC-MTL,2023-06-23,2023,9,,DC,MTL,1.0,,29.0,23.0,4.0,4.0,25.0,,165.0,155.0
2023-06-24-DC-BOS,2023-06-24,2023,9,,DC,BOS,,,,,,,,2.0,,
2023-06-30-DC-NY,2023-06-30,2023,10,,DC,NY,,,17.0,14.0,1.0,1.0,16.0,2.0,178.0,59.0
2023-07-08-BOS-DC,2023-07-08,2023,11,,BOS,DC,,,28.0,23.0,5.0,3.0,23.0,,303.0,104.0
2023-07-15-DC-PHI,2023-07-15,2023,12,,DC,PHI,1.0,,26.0,23.0,2.0,3.0,24.0,1.0,192.0,114.0
