game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-MAD-PIT,2023-04-29,2023,1,,MAD,PIT,,,8.0,8.0,,1.0,,4.0,,8.0,,17.0,88.0
2023-05-20-MAD-IND,2023-05-20,2023,4,,MAD,IND,1.0,,13.0,14.0,1.0,,,5.0,,14.0,,45.0,41.0
2023-05-27-CHI-MAD,2023-05-27,2023,5,,CHI,MAD,2.0,,13.0,13.0,,,2.0,7.0,,15.0,2.0,41.0,150.0
2023-06-04-PIT-MAD,2023-06-04,2023,6,,PIT,MAD,2.0,2.0,11.0,16.0,2.0,3.0,2.0,10.0,,16.0,,89.0,210.0
2023-06-10-MAD-MIN,2023-06-10,2023,7,,MAD,MIN,,2.0,7.0,8.0,1.0,,,4.0,,10.0,2.0,61.0,62.0
2023-06-17-MIN-MAD,2023-06-17,2023,8,,MIN,MAD,1.0,,17.0,22.0,,2.0,,,,22.0,,95.0,197.0
2023-06-23-IND-MAD,2023-06-23,2023,9,,IND,MAD,1.0,,11.0,9.0,,2.0,,2.0,,12.0,3.0,44.0,64.0
2023-07-01-MAD-IND,2023-07-01,2023,10,,MAD,IND,,,34.0,31.0,1.0,1.0,,,,33.0,1.0,109.0,123.0
2023-07-07-MIN-MAD,2023-07-07,2023,11,,MIN,MAD,3.0,,22.0,25.0,,3.0,0.0,0.0,,27.0,,71.0,216.0
2023-07-08-MAD-DET,2023-07-08,2023,11,,MAD,DET,,,,,,,,,1.0,,2.0,,
2023-07-21-MAD-CHI,2023-07-21,2023,13,,MAD,CHI,1.0,,13.0,16.0,,2.0,1.0,,,16.0,,93.0,162.0
2023-07-22-DET-MAD,2023-07-22,2023,13,,DET,MAD,,,,,,,,,,,0.0,,
