game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-DC-CAR,2023-04-29,2023,1,,DC,CAR,,1.0,3.0,2.0,1.0,,2.0,,54.0,1.0
2023-05-07-PHI-DC,2023-05-07,2023,2,,PHI,DC,,1.0,3.0,3.0,1.0,,3.0,,44.0,8.0
2023-05-13-NY-DC,2023-05-13,2023,3,,NY,DC,,1.0,3.0,3.0,,,3.0,,50.0,-11.0
2023-06-02-CAR-DC,2023-06-02,2023,6,,CAR,DC,,2.0,2.0,2.0,,,2.0,,-8.0,-5.0
2023-06-16-MTL-DC,2023-06-16,2023,8,,MTL,DC,2.0,,5.0,4.0,,1.0,5.0,1.0,104.0,29.0
2023-06-23-DC-MTL,2023-06-23,2023,9,,DC,MTL,,,4.0,3.0,,,4.0,,68.0,7.0
2023-06-24-DC-BOS,2023-06-24,2023,9,,DC,BOS,,1.0,,,,1.0,,1.0,,
2023-06-30-DC-NY,2023-06-30,2023,10,,DC,NY,,,1.0,1.0,,,1.0,,15.0,9.0
2023-07-08-BOS-DC,2023-07-08,2023,11,,BOS,DC,,,1.0,1.0,,,1.0,,5.0,16.0
