game_id,date,season,week,league,away,home,assists,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,yardsReceived,yardsThrown
2023-04-29-SEA-OAK,2023-04-29,2023,1,,SEA,OAK,,5.0,5.0,,,,5.0,15.0,4.0
2023-06-04-OAK-COL,2023-06-04,2023,6,,OAK,COL,,1.0,1.0,,,1.0,1.0,4.0,69.0
2023-07-08-POR-OAK,2023-07-08,2023,11,,POR,OAK,1.0,10.0,8.0,1.0,2.0,2.0,9.0,100.0,128.0
